ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
1AE,718680864,2924-03100780-6A1329679,2026-06-16T06:49:37.000Z,Change of Director's Interest Notice,243KB,false,1AE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03099357-6A1329146,2026-06-11T06:00:48.000Z,Change of Director's Interest Notice x 3,286KB,false,1AE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03099351-6A1329145,2026-06-11T05:51:33.000Z,Notification regarding unquoted securities - 1AE,17KB,false,1AE,,"[""Appendix 3G""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03099331-6A1329131,2026-06-11T05:00:17.000Z,Results of Meeting,234KB,false,1AE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03087901-6A1324587,2026-05-07T06:49:33.000Z,Notice of General Meeting/Proxy Form,397KB,false,1AE,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03087210-6A1324346,2026-05-06T01:14:37.000Z,Eagle Advances Aurora Project Towards PFS Drilling,290KB,false,1AE,,"[""Progress Report""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03086696-6A1324106,2026-05-05T02:15:33.000Z,Change of Director's Interest Notice,237KB,false,1AE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03080741-6A1321252,2026-04-20T22:59:09.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,399KB,true,1AE,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03075779-6A1319365,2026-04-06T22:30:43.000Z,Eagle Drill Program to Advance Aurora Project Toward PFS,276KB,false,1AE,,"[""Progress Report""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03068357-6A1316374,2026-03-13T08:43:26.000Z,Half Year Accounts,521KB,false,1AE,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03065058-6A1314999,2026-03-05T04:31:45.000Z,Initial Director's Interest Notice,231KB,false,1AE,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03065057-6A1314998,2026-03-05T04:31:00.000Z,Final Director's Interest Notice,249KB,false,1AE,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03064823-6A1314920,2026-03-04T22:09:08.000Z,Appointment of Aidan Platel as Managing Director,259KB,true,1AE,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03062825-6A1314167,2026-02-27T03:31:04.000Z,Change of Director's Interest Notice,238KB,false,1AE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03061333-6A1313702,2026-02-25T09:05:48.000Z,Completion of Sale of Aurora Uranium Project to Eagle Energy,277KB,true,1AE,,"[""Asset Disposal"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03060970-6A1313617,2026-02-24T22:57:14.000Z,Trading Halt,318KB,true,1AE,,"[""Trading Halt""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03060954-6A1313612,2026-02-24T22:49:54.000Z,Pause in Trading,112KB,true,1AE,,"[""Notice Pending""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03056387-6A1311971,2026-02-13T05:59:55.000Z,Change in substantial holding,379KB,false,1AE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03052337-6A1310242,2026-02-02T22:43:03.000Z,Update on Eagle U.S. Listing and Proposed Transaction,230KB,true,1AE,,"[""Progress Report""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03049371-6A1308615,2026-01-27T21:13:27.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,414KB,true,1AE,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03030940-6A1300525,2025-12-01T01:12:29.000Z,Notification of cessation of securities - 1AE,12KB,false,1AE,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03029135-6A1299549,2025-11-26T22:26:44.000Z,Aurora and Eagle Agree Amendment to Option Agreement,230KB,true,1AE,,"[""Asset Acquisition"", ""Company Administration - Other""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
1AE,718680864,2924-03025017-6A1297783,2025-11-19T00:41:02.000Z,"Aurora Receives Final US$400,000 Option Payment from Eagle",233KB,false,1AE,,"[""Progress Report""]","[{""symbolDisplay"": ""1AE""}]","[{""symbol"": ""1AE"", ""xid"": ""718659927"", ""ASXSecurityType"": 1, ""displayName"": ""AURORA ENERGY METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000216889"", ""xidEntity"": 718680864, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""1AE"", """"]"
