ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
1AI,204265339,2924-03105675-2A1680771,2026-06-30T06:19:16.000Z,Company Secretary Appointment/Resignation,113KB,false,1AI,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03104793-2A1679974,2026-06-28T23:02:56.000Z,Algorae Named Launch Partner for Sovereign AI Initiative,282KB,false,1AI,,"[""Progress Report""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03103558-2A1679226,2026-06-24T08:27:19.000Z,Change of Auditor,114KB,false,1AI,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03102105-2A1678324,2026-06-19T07:18:36.000Z,Cleansing Notice,142KB,false,1AI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03102100-2A1678322,2026-06-19T07:15:41.000Z,Application for quotation of securities - 1AI,15KB,false,1AI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03102095-2A1678319,2026-06-19T07:12:36.000Z,Application for quotation of securities - 1AI,15KB,false,1AI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03100828-2A1677712,2026-06-16T08:03:18.000Z,Proposed issue of securities - 1AI,14KB,false,1AI,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03093465-2A1673702,2026-05-25T07:23:57.000Z,Notification regarding unquoted securities - 1AI,15KB,false,1AI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03093460-2A1673680,2026-05-25T07:19:47.000Z,Application for quotation of securities - 1AI,17KB,false,1AI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03090864-2A1672395,2026-05-17T22:54:57.000Z,Algorae Expands AI Drug Combination Pipeline,147KB,true,1AI,,"[""Progress Report""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03087040-2A1670368,2026-05-05T22:54:01.000Z,1AI Executes License & Supply Agreement with Torrent Pharma,148KB,true,1AI,,"[""Progress Report""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03084339-2A1668949,2026-04-29T22:39:30.000Z,Quarterly Activities Report /Appendix 4C Cash Flow Statement,1043KB,true,1AI,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03082917-2A1668419,2026-04-27T22:35:42.000Z,Algorae and Zydus Enter Exclusive Commercial Agreement,141KB,true,1AI,,"[""Progress Report""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03080699-2A1667441,2026-04-20T22:37:59.000Z,Investor Webinar,114KB,false,1AI,,"[""Web Cast""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03076173-2A1664739,2026-04-07T07:23:37.000Z,Cleansing Notice,134KB,false,1AI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03076164-2A1664735,2026-04-07T07:17:32.000Z,Notification regarding unquoted securities - 1AI,14KB,false,1AI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03076161-2A1664731,2026-04-07T07:13:42.000Z,Application for quotation of securities - 1AI,18KB,false,1AI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03076160-2A1664733,2026-04-07T07:13:27.000Z,Application for quotation of securities - 1AI,15KB,false,1AI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03075532-2A1664404,2026-04-02T06:14:35.000Z,Proposed issue of securities - 1AI,15KB,false,1AI,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03075524-2A1664399,2026-04-02T06:08:20.000Z,Algorae Pharmaceuticals Ltd Raises $3.9m,118KB,true,1AI,,"[""Placement"", ""Issued Capital - Other""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03075144-2A1664101,2026-04-01T22:38:32.000Z,TGA Accepts Initial Registration Dossier for Evaluation,97KB,true,1AI,,"[""Progress Report""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
1AI,204265339,2924-03073313-2A1663010,2026-03-29T21:56:40.000Z,Peter Mac Partners with Algorae on AI Validation,165KB,true,1AI,,"[""Progress Report""]","[{""symbolDisplay"": ""1AI""}]","[{""symbol"": ""1AI"", ""xid"": ""182001"", ""ASXSecurityType"": 1, ""displayName"": ""ALGORAE PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000296022"", ""xidEntity"": 204265339}]","[""1AI"", """"]"
