ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
3DP,204277258,2924-03094965-6A1327447,2026-05-28T22:21:30.000Z,Material Natural Resources Sector Contract Award,2277KB,true,3DP,,"[""Progress Report""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03092429-6A1326417,2026-05-21T01:01:06.000Z,Change of Director's Interest Notice - Damon Fieldgate,299KB,false,3DP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03089653-6A1325305,2026-05-13T00:55:14.000Z,Change of Director's Interest Notice - Andrew Gee,303KB,false,3DP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03089652-6A1325304,2026-05-13T00:54:44.000Z,Change of Director's Interest Notice - Ian Olson,298KB,false,3DP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03084565-6A1323143,2026-04-29T23:35:46.000Z,Material Electric Utility Sector Contract Award,2244KB,true,3DP,,"[""Progress Report""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03084552-6A1323132,2026-04-29T23:33:11.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,7305KB,true,3DP,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03078406-6A1320319,2026-04-13T23:13:36.000Z,Material Electric Utility Sector Contract Award,2255KB,true,3DP,,"[""Progress Report""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03070086-6A1317100,2026-03-18T23:30:11.000Z,Change of Director's Interest Notice,303KB,false,3DP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03067545-6A1316031,2026-03-12T03:35:00.000Z,Change of Director's Interest Notice,592KB,false,3DP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
3DP,204277258,2924-03063074-6A1314241,2026-02-27T06:53:25.000Z,Half Yearly Report and Accounts,2642KB,true,3DP,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""3DP""}]","[{""symbol"": ""3DP"", ""xid"": ""10437143"", ""ASXSecurityType"": 1, ""displayName"": ""POINTERRA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000003DP6"", ""xidEntity"": 204277258}]","[""3DP"", """"]"
