ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
88E,204206589,2924-03094317-6A1327189,2026-05-27T06:40:20.000Z,Appendix 3Y x 3,229KB,false,88E,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03094311-6A1327187,2026-05-27T06:36:20.000Z,Notification regarding unquoted securities - 88E,18KB,false,88E,,"[""Appendix 3G""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03094281-6A1327168,2026-05-27T05:45:55.000Z,Notification regarding unquoted securities - 88E,24KB,false,88E,,"[""Appendix 3G""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03094280-6A1327167,2026-05-27T05:45:40.000Z,Notification regarding unquoted securities - 88E,23KB,false,88E,,"[""Appendix 3G""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03093805-6A1326968,2026-05-26T04:02:55.000Z,Results of Meeting,294KB,false,88E,,"[""Results of Meeting""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03091797-6A1326207,2026-05-19T22:48:51.000Z,South Prudhoe Augusta-1 Exploration Well Update,4010KB,true,88E,,"[""Progress Report""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03090842-6A1325810,2026-05-17T22:42:46.000Z,South Prudhoe Prospective Resource Upgrade,2320KB,true,88E,,"[""Progress Report""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03088610-6A1324894,2026-05-10T22:52:04.000Z,Amended PEL 93 Farm-In Terms and Exploration Update,522KB,true,88E,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03087569-6A1324485,2026-05-06T22:51:45.000Z,Rig Secured for Augusta-1 Exploration Well,671KB,true,88E,,"[""Progress Report""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03082578-6A1322094,2026-04-26T22:47:28.000Z,Project Phoenix PA Amendment Ahead of Franklin Bluffs 1H,245KB,true,88E,,"[""Progress Report""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03082137-6A1321870,2026-04-23T23:06:41.000Z,AGM Notice and Access Letter,127KB,false,88E,,"[""Notice of Meeting - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03082124-6A1321866,2026-04-23T23:04:36.000Z,Notice of Annual General Meeting/Proxy Form,705KB,false,88E,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03079339-6A1320665,2026-04-15T22:49:28.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,586KB,true,88E,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03075887-6A1319425,2026-04-06T23:19:54.000Z,Cleansing Statement,152KB,false,88E,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03075874-6A1319418,2026-04-06T23:15:54.000Z,Application for quotation of securities - 88E,15KB,false,88E,,"[""Appendix 2A""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03075716-6A1319387,2026-04-06T22:25:23.000Z,Kad River 3D Survey to Unlock New Exploration Upside,1153KB,false,88E,,"[""Progress Report""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03075113-6A1319158,2026-04-01T22:27:17.000Z,Notice of AGM and Closing Date for Director Nomination,131KB,false,88E,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03073306-6A1318377,2026-03-29T21:53:35.000Z,Augusta-1 Exploration Well Planning and Permitting Underway,847KB,false,88E,,"[""Progress Report""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03072815-6A1318144,2026-03-26T22:31:57.000Z,Proposed issue of securities - 88E,22KB,false,88E,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03072814-6A1318142,2026-03-26T22:31:47.000Z,Proposed issue of securities - 88E,16KB,false,88E,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03072813-6A1318141,2026-03-26T22:31:37.000Z,Successful Placement to Raise A$5 Million,270KB,true,88E,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
88E,204206589,2924-03071858-6A1317765,2026-03-24T22:38:34.000Z,Trading Halt,233KB,true,88E,,"[""Trading Halt""]","[{""symbolDisplay"": ""88E""}]","[{""symbol"": ""88E"", ""xid"": ""230975"", ""ASXSecurityType"": 1, ""displayName"": ""88 ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU00000088E2"", ""xidEntity"": 204206589}]","[""88E"", """"]"
