ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ACP,204290772,2924-03104909-6A1331379,2026-06-28T23:54:51.000Z,Proposed issue of securities - ACP,15KB,false,ACP,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03104900-6A1331377,2026-06-28T23:49:26.000Z,Update of Funding and Capital Raising,173KB,true,ACP,,"[""Placement""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03087298-6A1324378,2026-05-06T04:33:23.000Z,Application for quotation of securities - ACP,15KB,false,ACP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03087295-6A1324375,2026-05-06T04:31:18.000Z,Completion of Placement and Notice Under Section 708A,167KB,false,ACP,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03083269-6A1322415,2026-04-28T06:18:10.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,449KB,true,ACP,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03079341-6A1320668,2026-04-15T22:49:48.000Z,Proposed issue of securities - ACP,15KB,false,ACP,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03079338-6A1320667,2026-04-15T22:48:43.000Z,Update of Funding and Capital Raising,171KB,true,ACP,,"[""Placement""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03068202-6A1316294,2026-03-13T06:21:15.000Z,Half Yearly Report and Accounts,1878KB,false,ACP,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03054057-6A1310962,2026-02-06T07:42:18.000Z,Supplementary Information announcement dated 30 Jan 2026,601KB,true,ACP,,"[""Progress Report""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03051536-6A1309807,2026-01-30T07:44:37.000Z,Medcalf Project - Jan 2026 PFS Update & Maiden Ore Reserve,4587KB,true,ACP,,"[""Progress Report""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03049644-6A1308759,2026-01-28T00:10:08.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,612KB,true,ACP,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03043278-6A1305973,2026-01-05T03:39:02.000Z,Change of Auditor,207KB,false,ACP,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03040650-6A1304837,2025-12-22T06:25:16.000Z,Completion of Placement & Notice Under Section 708A,168KB,false,ACP,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03040646-6A1304835,2025-12-22T06:20:11.000Z,Application for quotation of securities - ACP,15KB,false,ACP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
ACP,204290772,2924-03038370-6A1303850,2025-12-16T22:19:41.000Z,Proposed issue of securities - ACP,15KB,false,ACP,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""ACP""}]","[{""symbol"": ""ACP"", ""xid"": ""35655549"", ""ASXSecurityType"": 1, ""displayName"": ""AUDALIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ACP7"", ""xidEntity"": 204290772}]","[""ACP"", """"]"
