ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ACU,204202719,2924-03104549-2A1679861,2026-06-26T06:58:38.000Z,Change in substantial holding,640KB,false,ACU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03104475-2A1679815,2026-06-26T05:57:43.000Z,Notice pursuant to section 249D of the Corporations Act,83KB,true,ACU,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03094279-2A1674068,2026-05-27T05:37:15.000Z,Appointment of Chief Financial Officer & Company Secretary,108KB,false,ACU,,"[""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03092561-2A1673239,2026-05-21T06:45:18.000Z,Change in substantial holding Amended,470KB,false,ACU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03092483-2A1673195,2026-05-21T03:42:57.000Z,Becoming a substantial holder,327KB,false,ACU,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03092453-2A1673180,2026-05-21T02:05:27.000Z,Change in substantial holding,470KB,false,ACU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03090490-2A1672251,2026-05-15T00:37:47.000Z,Change in substantial holding,642KB,false,ACU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03056898-2A1653765,2026-02-16T03:08:06.000Z,Half Yearly Report and Accounts,1405KB,true,ACU,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03050467-2A1650419,2026-01-29T06:43:33.000Z,Change in substantial holding,228KB,false,ACU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
ACU,204202719,2924-03041646-2A1645128,2025-12-24T00:26:11.000Z,CFO and Company Secretary Resignation,107KB,false,ACU,,"[""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""ACU""}]","[{""symbol"": ""ACU"", ""xid"": ""184709"", ""ASXSecurityType"": 1, ""displayName"": ""ACUMENTIS GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000077604"", ""xidEntity"": 204202719}]","[""ACU"", """"]"
