ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AEF,204200650,2924-03101538-2A1678046,2026-06-18T02:23:30.000Z,Change in substantial shareholding from AEF,383KB,false,IPD,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""IPD""}, {""symbolDisplay"": ""AEF""}]","[{""symbol"": ""IPD"", ""xid"": ""8800759"", ""ASXSecurityType"": 1, ""displayName"": ""IMPEDIMED LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPD8"", ""xidEntity"": 204129153, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""IPD"", ""AEF"", """"]"
AEF,204200650,2924-03101131-2A1677843,2026-06-17T03:58:15.000Z,Change in Substantial Shareholding from AEF,390KB,false,IPD,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""IPD""}, {""symbolDisplay"": ""AEF""}]","[{""symbol"": ""IPD"", ""xid"": ""8800759"", ""ASXSecurityType"": 1, ""displayName"": ""IMPEDIMED LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000IPD8"", ""xidEntity"": 204129153, ""sector"": ""Health Care"", ""industryGroup"": ""Health Care Equipment & Services"", ""industry"": ""Health Care Equipment & Supplies"", ""subIndustry"": ""Health Care Equipment""}]","[""IPD"", ""AEF"", """"]"
AEF,204200650,2924-03099211-2A1676923,2026-06-11T00:12:00.000Z,Change in substantial shareholding from AEF,494KB,false,OSL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""OSL""}, {""symbolDisplay"": ""AEF""}]","[{""symbol"": ""OSL"", ""xid"": ""2754751"", ""ASXSecurityType"": 1, ""displayName"": ""ONCOSIL MEDICAL LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OSL3"", ""xidEntity"": 204277343, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""OSL"", ""AEF"", """"]"
AEF,204200650,2924-03086538-2A1670005,2026-05-04T22:53:57.000Z,Appendix 3Z Richard Brandweiner,287KB,false,AEF,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""AEF""}]","[{""symbol"": ""AEF"", ""xid"": ""508120065"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN ETHICAL INVESTMENT LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AEF4"", ""xidEntity"": 204200650}]","[""AEF"", """"]"
AEF,204200650,2924-03081703-2A1667893,2026-04-22T23:32:42.000Z,AEF - Resignation of Director,430KB,false,AEF,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""AEF""}]","[{""symbol"": ""AEF"", ""xid"": ""508120065"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN ETHICAL INVESTMENT LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AEF4"", ""xidEntity"": 204200650}]","[""AEF"", """"]"
AEF,204200650,2924-03079295-2A1666776,2026-04-15T22:21:18.000Z,AEF - Quarterly FUM Announcement,1041KB,true,AEF,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""AEF""}]","[{""symbol"": ""AEF"", ""xid"": ""508120065"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN ETHICAL INVESTMENT LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AEF4"", ""xidEntity"": 204200650}]","[""AEF"", """"]"
AEF,204200650,2924-03072435-3A690196,2026-03-25T23:54:29.000Z,Change in substantial shareholding from AEF,391KB,false,RWL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""RWL""}, {""symbolDisplay"": ""AEF""}]","[{""symbol"": ""RWL"", ""xid"": ""674969291"", ""ASXSecurityType"": 1, ""displayName"": ""RUBICON WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000170391"", ""xidEntity"": 674951682, ""sector"": ""Information Technology"", ""industryGroup"": ""Technology Hardware & Equipment"", ""industry"": ""Electronic Equipment, Instruments & Components"", ""subIndustry"": ""Electronic Equipment & Instruments""}]","[""RWL"", ""AEF"", """"]"
AEF,204200650,2924-03070424-2A1661440,2026-03-19T22:13:00.000Z,Change in substantial shareholding from AEF,411KB,false,SDR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""SDR""}, {""symbolDisplay"": ""AEF""}]","[{""symbol"": ""SDR"", ""xid"": ""687232087"", ""ASXSecurityType"": 1, ""displayName"": ""SITEMINDER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000183543"", ""xidEntity"": 686366282, ""sector"": ""Information Technology"", ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""SDR"", ""AEF"", """"]"
AEF,204200650,2924-03066973-2A1659606,2026-03-11T00:18:40.000Z,Initial Notice of Directors Interest,239KB,false,AEF,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""AEF""}]","[{""symbol"": ""AEF"", ""xid"": ""508120065"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN ETHICAL INVESTMENT LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AEF4"", ""xidEntity"": 204200650}]","[""AEF"", """"]"
AEF,204200650,2924-03066782-2A1659502,2026-03-10T21:31:34.000Z,AEF - Appointment of Director Karen Orvad,630KB,false,AEF,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""AEF""}]","[{""symbol"": ""AEF"", ""xid"": ""508120065"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN ETHICAL INVESTMENT LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AEF4"", ""xidEntity"": 204200650}]","[""AEF"", """"]"
