ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AFP,235756841,2924-03103430-2A1679044,2026-06-24T03:54:58.000Z,Update - Dividend/Distribution - AFP,15KB,false,AFP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03103093-2A1678857,2026-06-23T21:31:17.000Z,FDA allows AFT injectable iron project clinical study,104KB,false,AFP,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03103092-2A1678856,2026-06-23T21:31:02.000Z,FDA allows AFT injectable iron project clinical study,2592KB,false,AFP,,"[""Company Presentation""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03102210-2A1678376,2026-06-21T22:13:40.000Z,Application for quotation of securities - AFP,14KB,false,AFP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03102184-2A1678373,2026-06-21T21:57:05.000Z,Capital Change Notice,124KB,false,AFP,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03093526-2A1673728,2026-05-25T21:33:53.000Z,Update - Dividend/Distribution - AFP,17KB,false,AFP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03093070-2A1673464,2026-05-24T21:32:08.000Z,Annual Meeting and Closing Date for Director Nominations,119KB,false,AFP,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03092859-2A1673370,2026-05-22T03:16:41.000Z,Dividend/Distribution - AFP,16KB,false,AFP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03092697-2A1673294,2026-05-21T22:30:29.000Z,Issue of unlisted options,197KB,false,AFP,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03092404-2A1673149,2026-05-21T00:07:46.000Z,Dividend distribution update,121KB,true,AFP,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03092184-2A1673060,2026-05-20T21:31:05.000Z,FY26 NZX App2,167KB,true,AFP,,"[""Preliminary Final Report"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03092182-2A1673059,2026-05-20T21:30:45.000Z,FY26 Annual Report,4309KB,true,AFP,,"[""Corporate Governance"", ""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03092179-2A1673058,2026-05-20T21:30:20.000Z,FY26 results presentation,4064KB,true,AFP,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03092178-2A1673057,2026-05-20T21:30:05.000Z,FY26 results,173KB,true,AFP,,"[""Profit Guidance"", ""Preliminary Final Report"", ""Dividend Rate""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03090721-2A1672362,2026-05-17T21:30:56.000Z,AFT Pharmaceuticals names Stuart Houliston CFO,105KB,false,AFP,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03088947-2A1671538,2026-05-11T21:30:03.000Z,AFT to release FY26 results,89KB,false,AFP,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03075650-2A1664506,2026-04-06T21:30:38.000Z,March Quarter FY 2026 Investor Update,155KB,false,AFP,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03071472-2A1662038,2026-03-23T23:47:51.000Z,Chief Financial Officer update,105KB,false,AFP,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03065729-2A1658902,2026-03-08T20:40:29.000Z,Court of Appeal dismisses PBL Port Wine Stain profit claim,107KB,false,AFP,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03046184-2A1648317,2026-01-14T20:30:57.000Z,December Quarter FY 2026 Investor Update,175KB,false,AFP,,"[""Progress Report""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03025346-2A1637247,2025-11-19T20:31:34.000Z,FY26 Interim presentation,3232KB,true,AFP,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03025345-2A1637246,2025-11-19T20:31:14.000Z,FY26 Interim Report,1426KB,true,AFP,,"[""Half Year Audit Review"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03025344-2A1637245,2025-11-19T20:31:04.000Z,FY26 Interim release,146KB,true,AFP,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
AFP,235756841,2924-03024723-2A1636961,2025-11-18T20:32:01.000Z,AFT CFO Malcolm Tubby to retire  Simon Bosley CFO Designate,90KB,false,AFP,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""AFP""}]","[{""symbol"": ""AFP"", ""xid"": ""321649575"", ""ASXSecurityType"": 1, ""displayName"": ""AFT PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZAFTE0001S4"", ""xidEntity"": 235756841}]","[""AFP"", """"]"
