ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AHC,204278363,2924-03095676-3A694392,2026-05-31T23:10:16.000Z,FY26 Trading Update,129KB,true,AHC,,"[""Trading Update""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03066800-3A689181,2026-03-10T21:34:59.000Z,Change of Director's Interest Notice - Astles,245KB,false,AHC,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03064245-3A688689,2026-03-03T21:23:24.000Z,Change of Director's Interest Notice - Burns,390KB,false,AHC,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03057990-3A687382,2026-02-18T05:14:26.000Z,Half Year results investor presentation,9589KB,true,AHC,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03057989-3A687381,2026-02-18T05:13:51.000Z,Half Year results media release,179KB,true,AHC,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03057988-3A687380,2026-02-18T05:12:51.000Z,Appendix 4D and 1HFY26 Accounts,766KB,true,AHC,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03043764-3A684974,2026-01-06T05:21:27.000Z,Notification of cessation of securities - AHC,12KB,false,AHC,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03016599-3A680245,2025-10-30T05:03:36.000Z,Change of Director's Interest Notice - Astles,199KB,false,AHC,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03016596-3A680244,2025-10-30T05:00:16.000Z,Notification regarding unquoted securities - AHC,16KB,false,AHC,,"[""Appendix 3G""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
AHC,204278363,2924-03015568-3A680058,2025-10-29T01:00:39.000Z,Results of Meeting,48KB,false,AHC,,"[""Results of Meeting""]","[{""symbolDisplay"": ""AHC""}]","[{""symbol"": ""AHC"", ""xid"": ""272772"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTCO HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000120818"", ""xidEntity"": 204278363}]","[""AHC"", """"]"
