ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ALD,204106068,2924-03105792-2A1680824,2026-06-30T08:12:01.000Z,Change in substantial holding,2571KB,false,ALD,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03104281-2A1679701,2026-06-25T23:58:17.000Z,Announcement of New Delayed-Draw Subordinated Notes Facility,206KB,true,ALD,,"[""Issued Capital - Other"", ""Debt Facility""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03099821-2A1677226,2026-06-12T06:30:42.000Z,Change in substantial holding,328KB,false,ALD,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03097828-2A1676160,2026-06-05T06:35:21.000Z,Notification regarding unquoted securities - ALD,17KB,false,ALD,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03097827-2A1676157,2026-06-05T06:35:11.000Z,Appendix 3Y - Matthew Halliday,240KB,false,ALD,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03096660-2A1675251,2026-06-02T23:26:35.000Z,Cancel - Proposed issue of securities - ALD,16KB,false,ALD,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03096649-2A1675243,2026-06-02T23:21:25.000Z,ACCC Approves Ampol's Acquisition of EG Australia,141KB,true,ALD,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03096605_PS-2A1675220,2026-06-02T22:59:45.000Z,AXX: Ampol's acq of EG Australia approved with conditions,126KB,true,ALD,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03090432-2A1672231,2026-05-14T23:22:56.000Z,Appendix 3Z - M Conrad,213KB,false,ALD,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
ALD,204106068,2924-03090136-2A1672091,2026-05-14T03:07:33.000Z,2026 Annual General Meeting Results,141KB,false,ALD,,"[""Results of Meeting""]","[{""symbolDisplay"": ""ALD""}]","[{""symbol"": ""ALD"", ""xid"": ""83276"", ""ASXSecurityType"": 1, ""displayName"": ""AMPOL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000088338"", ""xidEntity"": 204106068}]","[""ALD"", """"]"
