ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ALR,204177053,2924-03103581-3A695912,2026-06-24T09:13:54.000Z,Change in substantial holding,2892KB,false,ALR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03102873-3A695796,2026-06-22T23:44:39.000Z,Completion of Premium Priced Placement & Cleansing Notice,92KB,true,ALR,,"[""Placement"", ""Cleansing Notice""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03102646-3A695759,2026-06-22T08:59:47.000Z,Application for quotation of securities - ALR,15KB,false,ALR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03102311-3A695696,2026-06-21T22:52:35.000Z,Sonia Scarselli Appointed as Specialist Advisor to Board,114KB,true,ALR,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03101946-3A695644,2026-06-19T03:09:24.000Z,Results of General Meeting,317KB,false,ALR,,"[""Results of Meeting""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03101040-3A695466,2026-06-16T23:47:49.000Z,SOKO Auger Strengthens Geochemical Targets,2597KB,true,ALR,,"[""Progress Report""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03095674-3A694389,2026-05-31T23:10:06.000Z,Proposed issue of securities - ALR,22KB,false,ALR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03095645-3A694382,2026-05-31T22:58:06.000Z,Simon Bolster Appointed as Technical Advisor,123KB,true,ALR,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03092495-3A693763,2026-05-21T04:04:57.000Z,Letter to Shareholders & Proxy Form,137KB,false,ALR,,"[""Web Cast"", ""Proxy Form"", ""Notice of Meeting - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03092494-3A693762,2026-05-21T04:04:07.000Z,Notice of General Meeting/Proxy Form,423KB,false,ALR,,"[""Web Cast"", ""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03090833-3A693447,2026-05-17T22:40:41.000Z,SOKO returns 35g/t Au & Targets Strengthen into Drilling,1753KB,true,ALR,,"[""Progress Report""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03086358-3A692642,2026-05-04T09:24:17.000Z,Ceasing to be a substantial holder,286KB,false,ALR,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03086041-3A692590,2026-05-03T23:27:03.000Z,Becoming a substantial holder,914KB,false,ALR,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03085907-3A692564,2026-05-03T22:18:27.000Z,Change in substantial holding,252KB,false,ALR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03085624-3A692513,2026-05-01T05:20:31.000Z,Section 708A Cleansing Notice,65KB,false,ALR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03085622-3A692512,2026-05-01T05:16:41.000Z,Application for quotation of securities - ALR,15KB,false,ALR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03084966-3A692383,2026-04-30T05:26:03.000Z,ALR March 2026 Quarterly Activities Report & Appendix 5B,3734KB,true,ALR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
ALR,204177053,2924-03083487-3A692143,2026-04-28T22:21:16.000Z,Change in substantial holding,261KB,false,ALR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ALR""}]","[{""symbol"": ""ALR"", ""xid"": ""35079876"", ""ASXSecurityType"": 1, ""displayName"": ""ALTAIR MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000333676"", ""xidEntity"": 204177053}]","[""ALR"", """"]"
