ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ALV,673231905,2924-03104526-3A696084,2026-06-26T06:45:08.000Z,Details of Company Address,144KB,false,ALV,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03104353-3A696041,2026-06-26T01:37:57.000Z,Cleansing Statement,185KB,false,ALV,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03104350-3A696040,2026-06-26T01:30:17.000Z,Application for quotation of securities - ALV,15KB,false,ALV,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03103946-3A695981,2026-06-25T05:35:09.000Z,Proposed issue of securities - ALV,14KB,false,ALV,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03095208-3A694298,2026-05-29T03:24:37.000Z,Results of Meeting,241KB,false,ALV,,"[""Results of Meeting""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03095130-3A694286,2026-05-29T00:21:36.000Z,Chair's Address to Shareholders,111KB,false,ALV,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03092640-3A693784,2026-05-21T22:16:24.000Z,Notification regarding unquoted securities - ALV,18KB,false,ALV,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03090099-3A693311,2026-05-14T01:58:08.000Z,Application for quotation of securities - ALV,15KB,false,ALV,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03090097-3A693310,2026-05-14T01:57:58.000Z,Application for quotation of securities - ALV,15KB,false,ALV,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03089050-3A693080,2026-05-11T22:50:39.000Z,Update - Proposed issue of securities - ALV,19KB,false,ALV,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03088809-3A693079,2026-05-11T04:25:21.000Z,Update - Proposed issue of securities - ALV,16KB,false,ALV,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
ALV,673231905,2924-03088807-3A693078,2026-05-11T04:23:06.000Z,Extension of Closing Date of Cleansing Offer,175KB,false,ALV,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""ALV""}]","[{""symbol"": ""ALV"", ""xid"": ""673648174"", ""ASXSecurityType"": 1, ""displayName"": ""ALVO MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168999"", ""xidEntity"": 673231905}]","[""ALV"", """"]"
