ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ALY,204183221,2924-03085889-6A1323773,2026-05-03T22:16:27.000Z,Completion of Sale of Karonie & Lake Rebecca Projects to FRS,421KB,true,ALY,,"[""Asset Disposal"", ""Progress Report""]","[{""symbolDisplay"": ""ALY""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", """"]"
ALY,204183221,2924-03085228-6A1323492,2026-04-30T08:28:39.000Z,Quarterly Cashflow Report - March 2026,219KB,true,ALY,,"[""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""ALY""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", """"]"
ALY,204183221,2924-03085223-6A1323489,2026-04-30T08:27:24.000Z,Quarterly Activities Report - March 2026,1892KB,true,ALY,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""ALY""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", """"]"
ALY,204183221,2924-03078392-6A1320313,2026-04-13T23:05:26.000Z,Newcam Exercises Bryah Iron Ore Option,913KB,true,ALY,,"[""Progress Report""]","[{""symbolDisplay"": ""ALY""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", """"]"
ALY,204183221,2924-03068970-6A1316673,2026-03-16T08:29:43.000Z,Half Yearly Report and Accounts,3540KB,false,ALY,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""ALY""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", """"]"
ALY,204183221,2924-03066855-6A1315753,2026-03-10T22:21:14.000Z,Sale of Karonie & Lake Rebecca Projects to FRS for $5m,606KB,true,ALY,,"[""Asset Disposal""]","[{""symbolDisplay"": ""ALY""}, {""symbolDisplay"": ""FRS""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", ""FRS"", """"]"
ALY,204183221,2924-03066844-6A1315750,2026-03-10T22:13:19.000Z,Forrestania Expands Eastern Goldfields Hub,3473KB,true,FRS,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""FRS""}, {""symbolDisplay"": ""ALY""}]","[{""symbol"": ""FRS"", ""xid"": ""676640671"", ""ASXSecurityType"": 1, ""displayName"": ""FORRESTANIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000171621"", ""xidEntity"": 676601630, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""FRS"", ""ALY"", """"]"
ALY,204183221,2924-03051235-6A1309630,2026-01-30T04:01:41.000Z,Quarterly Activities Report - December 2025,3087KB,true,ALY,,"[""Second Quarter Activities Report""]","[{""symbolDisplay"": ""ALY""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", """"]"
ALY,204183221,2924-03051233-6A1309631,2026-01-30T04:01:11.000Z,Quarterly Cashflow Report - December 2025,214KB,true,ALY,,"[""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""ALY""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", """"]"
ALY,204183221,2924-03050557-6A1309253,2026-01-29T21:11:28.000Z,Significant New Targets at Yellow Mountain Copper Project,1061KB,true,ALY,,"[""Progress Report""]","[{""symbolDisplay"": ""ALY""}]","[{""symbol"": ""ALY"", ""xid"": ""8800757"", ""ASXSecurityType"": 1, ""displayName"": ""ALCHEMY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ALY0"", ""xidEntity"": 204183221}]","[""ALY"", """"]"
