ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AMA,204290507,2924-03104707-3A696097,2026-06-28T22:24:31.000Z,Notification of cessation of securities - AMA,13KB,false,AMA,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03103947-3A695982,2026-06-25T05:40:19.000Z,Change of Director's Interest Notice,231KB,false,AMA,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03099036-3A695056,2026-06-10T22:29:25.000Z,Update - Notification of buy-back - AMA,15KB,false,AMA,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03095798-3A694423,2026-06-01T00:57:12.000Z,Change in substantial holding,245KB,false,AMA,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03092039-3A693672,2026-05-20T04:10:28.000Z,Change in substantial holding - Correction,538KB,false,AMA,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03091297-3A693527,2026-05-18T22:17:57.000Z,Change in substantial holding,424KB,false,AMA,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03088066-3A692955,2026-05-07T22:28:09.000Z,Notification of buy-back - AMA,12KB,false,AMA,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03088065-3A692954,2026-05-07T22:27:59.000Z,On-Market Share Buy-Back Announcement,58KB,true,AMA,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03081240-3A691796,2026-04-21T23:35:28.000Z,3Q26 Quarterly Business Update,179KB,true,AMA,,"[""Trading Update"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
AMA,204290507,2924-03075749-3A690807,2026-04-06T22:28:03.000Z,Change of Director's Interest Notice,225KB,false,AMA,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AMA""}]","[{""symbol"": ""AMA"", ""xid"": ""5332673"", ""ASXSecurityType"": 1, ""displayName"": ""AMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AMA8""}]","[""AMA"", """"]"
