ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AQX,204116896,2924-03104911-6A1331381,2026-06-28T23:56:21.000Z,Change in substantial holding,261KB,false,AQX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03104880-6A1331371,2026-06-28T23:38:31.000Z,Change of Director's Interest Notice,250KB,false,AQX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03104362-6A1331160,2026-06-26T01:48:22.000Z,Application for quotation of securities - AQX,15KB,false,AQX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03104360-6A1331159,2026-06-26T01:46:37.000Z,RESULTS OF RIGHTS ISSUE,345KB,false,AQX,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03101399-6A1329940,2026-06-17T22:43:18.000Z,DUAL PURPOSE RIG BOOKED FOR HORN ISLAND DRILLING,469KB,true,AQX,,"[""Progress Report""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03100551-6A1329601,2026-06-15T23:03:44.000Z,HORN ISLAND PROJECT DEFINITION STUDY,2575KB,true,AQX,,"[""Progress Report""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03098348-6A1328728,2026-06-09T01:41:47.000Z,Update - Proposed issue of securities - AQX,19KB,false,AQX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03098331-6A1328727,2026-06-09T01:11:37.000Z,Further Extension of Rights Issue Closing Date,163KB,true,AQX,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03095711-6A1327748,2026-05-31T23:27:01.000Z,Update - Proposed issue of securities - AQX,19KB,false,AQX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03095686-6A1327742,2026-05-31T23:17:31.000Z,Extension of Rights Issue Closing Date,225KB,true,AQX,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03093603-6A1326904,2026-05-25T22:32:53.000Z,KEY APPOINTMENT TO FAST TRACK EXPLORATION,679KB,true,AQX,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
AQX,204116896,2924-03090228-6A1325540,2026-05-14T06:58:00.000Z,DISPATCH OF RIGHTS ISSUE MATERIALS,1068KB,false,AQX,,"[""Non-Renounceable Issue"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""AQX""}]","[{""symbol"": ""AQX"", ""xid"": ""27872356"", ""ASXSecurityType"": 1, ""displayName"": ""ALICE QUEEN LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AQX1"", ""xidEntity"": 204116896}]","[""AQX"", """"]"
