ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ARI,204156002,2924-03102639-6A1330465,2026-06-22T08:38:07.000Z,Ceasing to be a substantial holder,58KB,false,ARI,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
ARI,204156002,2924-03098877-6A1328942,2026-06-10T06:02:18.000Z,Becoming a substantial holder from NME,76KB,false,ARI,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""ARI""}, {""symbolDisplay"": ""NME""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", ""NME"", """"]"
ARI,204156002,2924-03097477-6A1328413,2026-06-04T22:19:38.000Z,Cleansing Notice,152KB,false,ARI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
ARI,204156002,2924-03097476-6A1328412,2026-06-04T22:19:28.000Z,Acquisition of 100% of Yundamindra & Kookynie Projects,1368KB,true,ARI,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
ARI,204156002,2924-03097475-6A1328411,2026-06-04T22:19:18.000Z,Application for quotation of securities - ARI,15KB,false,ARI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
ARI,204156002,2924-03097474-6A1328410,2026-06-04T22:19:08.000Z,Application for quotation of securities - ARI,15KB,false,ARI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
ARI,204156002,2924-03093431-6A1326823,2026-05-25T06:43:02.000Z,Change of Director's Interest Notice x3,265KB,false,ARI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
ARI,204156002,2924-03093380-6A1326809,2026-05-25T04:48:31.000Z,Notification of cessation of securities - ARI,12KB,false,ARI,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
ARI,204156002,2924-03093379-6A1326808,2026-05-25T04:47:26.000Z,Notification of cessation of securities - ARI,12KB,false,ARI,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
ARI,204156002,2924-03092880-6A1326589,2026-05-22T04:07:37.000Z,Change of Share Registry,154KB,false,ARI,,"[""Details of Share Registry address""]","[{""symbolDisplay"": ""ARI""}]","[{""symbol"": ""ARI"", ""xid"": ""3823776"", ""ASXSecurityType"": 1, ""displayName"": ""ARIKA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000355000"", ""xidEntity"": 204156002}]","[""ARI"", """"]"
