ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ARN,478318363,2924-03103714-6A1330919,2026-06-24T22:59:22.000Z,Kameelburg Delivers Record-Breaking Hole,1342KB,true,ARN,,"[""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03100266-6A1329488,2026-06-15T04:01:01.000Z,Corporate Presentation,2852KB,false,ARN,,"[""Company Presentation""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03099545-6A1329215,2026-06-11T22:53:49.000Z,Kameelburg Tier 1 scale grade confirmed every direction,1696KB,true,ARN,,"[""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03097566-6A1328438,2026-06-04T23:01:43.000Z,DD003B confirms both Nb-Rich Margin and REE-Rich Core,956KB,true,ARN,,"[""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03097563-6A1328436,2026-06-04T23:00:23.000Z,Kameelburg delivers 99% Sr & 72% REE in Maiden Leach Results,1353KB,true,ARN,,"[""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03093918-6A1327015,2026-05-26T08:07:42.000Z,Cleansing Statement,194KB,false,ARN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03093915-6A1327013,2026-05-26T08:06:12.000Z,Application for quotation of securities - ARN,15KB,false,ARN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03090383-6A1325614,2026-05-14T22:51:31.000Z,"DD008D - 504m of Mineralisation, 2.39% TREO at Depth",1109KB,true,ARN,,"[""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03089514-6A1325255,2026-05-12T22:51:03.000Z,DD003C confirms Niobium at Kameelburg's Northeast Margin,919KB,true,ARN,,"[""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03088688-6A1324904,2026-05-10T23:30:14.000Z,Kameelburg Confirmed as World's Largest Strontium Resource,3755KB,true,ARN,,"[""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03087852-6A1324578,2026-05-07T05:19:02.000Z,Trading Halt,386KB,true,ARN,,"[""Trading Halt""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03087843-6A1324575,2026-05-07T04:58:17.000Z,Pause in Trading,112KB,true,ARN,,"[""Notice Pending""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03086232-6A1323917,2026-05-04T04:10:45.000Z,$3.27M Option Underwriting Secured,257KB,true,ARN,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03085969-6A1323815,2026-05-03T22:54:52.000Z,High grade Niobium and Strontium extend Kameelburg Scale,1265KB,true,ARN,,"[""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03085216-6A1323485,2026-04-30T08:17:39.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,3668KB,true,ARN,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03081954-6A1321792,2026-04-23T09:06:05.000Z,Amended Announcement,1242KB,false,ARN,,"[""Progress Report""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03081859-6A1321737,2026-04-23T05:16:04.000Z,Appendix 3Y,205KB,false,ARN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03081858-6A1321736,2026-04-23T05:13:19.000Z,Cleansing Statement,194KB,false,ARN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
ARN,478318363,2924-03081857-6A1321735,2026-04-23T05:10:59.000Z,Application for quotation of securities - ARN,18KB,false,ARN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""ARN""}]","[{""symbol"": ""ARN"", ""xid"": ""478309439"", ""ASXSecurityType"": 1, ""displayName"": ""ALDORO RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000017733"", ""xidEntity"": 478318363}]","[""ARN"", """"]"
