ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AS1,204147315,2924-03105018-3A696148,2026-06-29T04:59:22.000Z,Cleansing Notice,486KB,false,AS1,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03105015-3A696145,2026-06-29T04:53:52.000Z,Application for quotation of securities - AS1,15KB,false,AS1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03104897-3A696133,2026-06-28T23:48:41.000Z,Proposed issue of securities - AS1,15KB,false,AS1,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03104893-3A696131,2026-06-28T23:45:51.000Z,Placement Update,504KB,true,AS1,,"[""Placement""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03104392-3A696049,2026-06-26T03:28:28.000Z,Application for quotation of securities - AS1,15KB,false,AS1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03102120-3A695666,2026-06-19T07:57:26.000Z,Results of Meeting,771KB,false,AS1,,"[""Results of Meeting""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03101404-3A695532,2026-06-17T22:54:33.000Z,Drilling at Kada continues to deliver strong results,2767KB,true,AS1,,"[""Progress Report""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03092758-3A693827,2026-05-21T23:21:50.000Z,More outstanding Results at the Kada Gold Project,2460KB,true,AS1,,"[""Progress Report""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03092048-3A693675,2026-05-20T04:39:18.000Z,Notice of General Meeting/Proxy Form,750KB,false,AS1,,"[""Proxy Form"", ""Notice of General Meeting"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03091934-3A693651,2026-05-20T00:01:51.000Z,Ceasing to be a substantial holder,318KB,false,AS1,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
AS1,204147315,2924-03091601-3A693582,2026-05-19T06:54:50.000Z,Change in substantial holding,317KB,false,AS1,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""AS1""}]","[{""symbol"": ""AS1"", ""xid"": ""2912695"", ""ASXSecurityType"": 1, ""displayName"": ""ASARA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000315624"", ""xidEntity"": 204147315}]","[""AS1"", """"]"
