ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ASN,204166362,2924-03103864-6A1330970,2026-06-25T01:34:33.000Z,Proposed Resolutions Under 249D Notice,301KB,false,ASN,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03102818-6A1330545,2026-06-22T23:15:19.000Z,Appoints Baker Hughes to Complete Green River Engineering,220KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03101576-6A1330011,2026-06-18T05:16:36.000Z,Receipt of Section 203D & 249D Notices,196KB,false,ASN,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03100709-6A1329653,2026-06-16T03:58:51.000Z,Amended Announcement - Green River Engineering Study,2251KB,false,ASN,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03100705-6A1329649,2026-06-16T03:48:46.000Z,Amended Critical Minerals Conference Presentation,2144KB,false,ASN,,"[""Company Presentation""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03100590-6A1329623,2026-06-15T23:30:30.000Z,Becoming a substantial holder,2475KB,false,ASN,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03099075-6A1329041,2026-06-10T22:39:25.000Z,Anson and POSCO Sign Binding Agreement for DLE Demo Plant,422KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03092432-6A1326418,2026-05-21T01:14:46.000Z,Critical Minerals Conference Presentation - May 2026,1916KB,false,ASN,,"[""Company Presentation""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03091470-6A1326074,2026-05-19T00:22:52.000Z,Engineering Study Confirms Green River as Low-Cost Producer,3657KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03091450-6A1326068,2026-05-18T23:57:02.000Z,Pause in trading,113KB,true,ASN,,"[""Notice Pending""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03089598-6A1325286,2026-05-12T23:42:28.000Z,POSCO Approves Agreement for DLE Demo Plant at Green River,290KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03089588-6A1325283,2026-05-12T23:35:58.000Z,Retraction and Clarification - Green River Resource Upgrade,2450KB,false,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03088598-6A1324887,2026-05-10T22:43:14.000Z,A1 Lithium Admitted to US Defense Industrial Base Consortium,280KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03086170-6A1323889,2026-05-04T01:29:23.000Z,Notification of cessation of securities - ASN,12KB,false,ASN,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03086169-6A1323888,2026-05-04T01:29:03.000Z,Notification regarding unquoted securities - ASN,16KB,false,ASN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03085932-6A1323799,2026-05-03T22:33:27.000Z,Anson Upgrades Green River JORC Resource Estimate by 650%,2105KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03084825-6A1323260,2026-04-30T03:06:02.000Z,Appendix 3Y - Tim Murray,243KB,false,ASN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03083932-6A1322772,2026-04-29T05:12:14.000Z,Quarterly Activities and Cashflow Report,1631KB,true,ASN,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03080671-6A1321220,2026-04-20T22:23:38.000Z,Updated Notice of Intent for Small Mining Operations for GR,773KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03080201-6A1321046,2026-04-19T22:24:44.000Z,Diamond Core Records Higher Effective Porosity at GR,989KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
ASN,204166362,2924-03077920-6A1320141,2026-04-12T22:38:31.000Z,Drilling Fluid from Mt Fuel-Skyline Tested Significant Li,725KB,true,ASN,,"[""Progress Report""]","[{""symbolDisplay"": ""ASN""}]","[{""symbol"": ""ASN"", ""xid"": ""24223654"", ""ASXSecurityType"": 1, ""displayName"": ""ANSON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ASN8"", ""xidEntity"": 204166362}]","[""ASN"", """"]"
