ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ASV,234381806,2924-03103168-3A695835,2026-06-23T22:29:22.000Z,Asset Vision wins new contracts across key verticals,233KB,true,ASV,,"[""Progress Report""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03076976-3A691028,2026-04-08T23:42:07.000Z,Change of Director's Interest Notice - Lucas Murtagh,280KB,false,ASV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03070474-3A689802,2026-03-19T22:54:15.000Z,Change of Director's Interest Notice - Lucas Murtagh,280KB,false,ASV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03057221-3A687236,2026-02-16T22:07:19.000Z,Investor Presentation - Half Year Results 2026,8573KB,true,ASV,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03057220-3A687235,2026-02-16T22:05:24.000Z,Half Yearly Report and Accounts,1322KB,true,ASV,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03022808-3A681301,2025-11-13T04:24:19.000Z,Notification regarding unquoted securities - ASV,21KB,false,ASV,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03014943-3A679949,2025-10-28T05:12:47.000Z,Change of Director's Interest Notice - Damian Smith,250KB,false,ASV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03014942-3A679948,2025-10-28T05:12:37.000Z,Change of Director's Interest Notice - Lucas Murtagh,252KB,false,ASV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03014935-3A679946,2025-10-28T05:11:42.000Z,Change of Director's Interest Notice - Peter Borden,250KB,false,ASV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
ASV,234381806,2924-03014934-3A679945,2025-10-28T05:11:32.000Z,Change of Director's Interest Notice - Luke Donnellan,251KB,false,ASV,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ASV""}]","[{""symbol"": ""ASV"", ""xid"": ""69781285"", ""ASXSecurityType"": 1, ""displayName"": ""ASSET VISION CO LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000303216"", ""xidEntity"": 234381806}]","[""ASV"", """"]"
