ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
ATH,204097986,2924-03105268-3A696183,2026-06-29T22:16:35.000Z,Change in substantial holding,342KB,false,ATH,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATH"", ""xid"": ""225892"", ""ASXSecurityType"": 1, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000043945"", ""xidEntity"": 204097986}]","[""ATH"", """"]"
ATH,204097986,2924-03101096-3A695479,2026-06-17T01:54:20.000Z,Change of Director's Interest Notice x 2,13KB,false,ATH,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATH"", ""xid"": ""225892"", ""ASXSecurityType"": 1, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000043945"", ""xidEntity"": 204097986}]","[""ATH"", """"]"
ATH,204097986,2924-03100644-3A695400,2026-06-16T00:40:30.000Z,Corporate Presentation June 2026,3807KB,false,ATH,,"[""Company Presentation""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATH"", ""xid"": ""225892"", ""ASXSecurityType"": 1, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000043945"", ""xidEntity"": 204097986}]","[""ATH"", """"]"
ATH,204097986,2924-03100285-3A695328,2026-06-15T04:41:01.000Z,Notification regarding unquoted securities - ATH,19KB,false,ATH,,"[""Appendix 3G""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATH"", ""xid"": ""225892"", ""ASXSecurityType"": 1, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000043945"", ""xidEntity"": 204097986}]","[""ATH"", """"]"
ATH,204097986,2924-03100281-3A695327,2026-06-15T04:32:56.000Z,Notification of cessation of securities - ATH,13KB,false,ATH,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATH"", ""xid"": ""225892"", ""ASXSecurityType"": 1, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000043945"", ""xidEntity"": 204097986}]","[""ATH"", """"]"
ATH,204097986,2924-03099767-3A695230,2026-06-12T04:52:46.000Z,Completion of Consolidation,168KB,false,ATH,,"[""Capital Reconstruction"", ""Issued Capital - Other""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATH"", ""xid"": ""225892"", ""ASXSecurityType"": 1, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000043945"", ""xidEntity"": 204097986}]","[""ATH"", """"]"
ATH,204097986,2924-03098176-3A694906,2026-06-08T23:01:16.000Z,Alterity and FDA Agree on Phase 3 Program for ATH434 in MSA,219KB,true,ATH,,"[""Progress Report""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATHDB"", ""xid"": ""1073043822"", ""ASXSecurityType"": 40, ""displayName"": ""OPTION EXPIRING 31-AUG-2026 DEFERRED SETTLEMENT"", ""issueType"": ""COOP"", ""issueTypeName"": ""Company Options"", ""issueTypeCode"": 40, ""isin"": ""AU0000468100"", ""xidEntity"": 204097986, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Biotechnology"", ""subIndustry"": ""Biotechnology""}]","[""ATH"", """"]"
ATH,204097986,2924-03097187-3A694734,2026-06-03T23:49:14.000Z,"Share Consolidation Effective, Trading Under ATHDA",162KB,false,ATH,,"[""Capital Reconstruction"", ""Company Administration - Other""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATHO"", ""xid"": ""858357858"", ""ASXSecurityType"": 40, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""COOP"", ""issueTypeName"": ""Company Options"", ""issueTypeCode"": 40, ""isin"": ""AU0000318792"", ""xidEntity"": 204097986, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Biotechnology"", ""subIndustry"": ""Biotechnology""}]","[""ATH"", """"]"
ATH,204097986,2924-03096905-3A694673,2026-06-03T06:59:03.000Z,Change of Registered Office Address,145KB,false,ATH,,"[""Details of Registered office address""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATHO"", ""xid"": ""858357858"", ""ASXSecurityType"": 40, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""COOP"", ""issueTypeName"": ""Company Options"", ""issueTypeCode"": 40, ""isin"": ""AU0000318792"", ""xidEntity"": 204097986, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Biotechnology"", ""subIndustry"": ""Biotechnology""}]","[""ATH"", """"]"
ATH,204097986,2924-03095232-3A694301,2026-05-29T03:59:22.000Z,Results of Meeting,247KB,false,ATH,,"[""Results of Meeting""]","[{""symbolDisplay"": ""ATH""}]","[{""symbol"": ""ATH"", ""xid"": ""225892"", ""ASXSecurityType"": 1, ""displayName"": ""ALTERITY THERAPEUTICS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000043945"", ""xidEntity"": 204097986}]","[""ATH"", """"]"
