ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AVG,204162428,2924-03101141-2A1677848,2026-06-17T04:31:06.000Z,Australian Vintage confirms execution of re-financing docume,98KB,false,AVG,,"[""Debt Facility""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03094144-2A1674008,2026-05-26T23:54:48.000Z,AVG Re-financing to 2029,145KB,true,AVG,,"[""Periodic Reports - Other"", ""Debt Facility""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03063455-2A1657245,2026-03-01T23:06:00.000Z,Change of Director's Interest Notice - James Williamson,418KB,false,AVG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03061062-2A1655901,2026-02-25T02:13:15.000Z,Change of Director's Interest Notice - James Williamson,416KB,false,AVG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03058189-2A1654365,2026-02-18T21:16:16.000Z,AVG 1H FY26 Results Investor Presentation,2564KB,true,AVG,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03058187-2A1654363,2026-02-18T21:15:26.000Z,AVG 1H FY26 Results Press Release,127KB,true,AVG,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03058182-2A1654361,2026-02-18T21:13:46.000Z,AVG 4D and Financial Statements 31 December 2025,528KB,true,AVG,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03034279-2A1641672,2025-12-07T21:31:53.000Z,AVG Growth Acceleration,100KB,true,AVG,,"[""Progress Report""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03022645-2A1635966,2025-11-12T23:59:38.000Z,Update to AVG 2025 AGM Address,2214KB,false,AVG,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03022319-2A1635847,2025-11-12T21:18:27.000Z,AVG 2025 AGM Voting Results,283KB,false,AVG,,"[""Results of Meeting""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03022015-2A1635641,2025-11-12T00:42:15.000Z,AVG 2025 AGM Address and Presentation,2184KB,true,AVG,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03006946-2A1628769,2025-10-12T22:58:50.000Z,Notification regarding unquoted securities - AVG,17KB,false,AVG,,"[""Appendix 3G""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03006207-2A1628413,2025-10-09T22:52:03.000Z,Appendix 4G - Corporate Governance Disclosures,320KB,false,AVG,,"[""Appendix 4G""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03006206-2A1628412,2025-10-09T22:51:18.000Z,2025 Annual Report,11596KB,false,AVG,,"[""Corporate Governance"", ""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-03006199-2A1628408,2025-10-09T22:47:03.000Z,2025 Notice of Annual General Meeting & Proxy Form,439KB,false,AVG,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-02988269-2A1618767,2025-09-02T04:46:08.000Z,Change of Director's Interest Notice - Margaret Zabel,351KB,false,AVG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-02984504-2A1616847,2025-08-26T23:46:00.000Z,Change of Director's Interest Notice - James Williamson,353KB,false,AVG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-02984393-2A1616795,2025-08-26T23:07:29.000Z,Change in substantial holding,670KB,false,AVG,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
AVG,204162428,2924-02981676-2A1615296,2025-08-21T04:37:42.000Z,AVG FY25 Full Year Results Presentation,2989KB,true,AVG,,"[""Company Presentation"", ""Preliminary Final Report""]","[{""symbolDisplay"": ""AVG""}]","[{""symbol"": ""AVG"", ""xid"": ""200432"", ""ASXSecurityType"": 1, ""displayName"": ""AUSTRALIAN VINTAGE LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVG6"", ""xidEntity"": 204162428}]","[""AVG"", """"]"
