ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AVW,204282222,2924-03101477-6A1329981,2026-06-17T23:47:59.000Z,Drilling Update - Mt Cattlin Gold Project,1571KB,true,AVW,,"[""Progress Report""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03098954-6A1328979,2026-06-10T08:31:39.000Z,Cleansing Notice,137KB,false,AVW,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03098951-6A1328977,2026-06-10T08:25:24.000Z,Application for quotation of securities - AVW,15KB,false,AVW,,"[""Appendix 2A""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03096193-6A1327911,2026-06-01T23:34:16.000Z,Drilling Commences at the High-Grade Mt Cattlin Gold Project,2576KB,true,AVW,,"[""Progress Report""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03093904-6A1327007,2026-05-26T07:48:51.000Z,Change of Address,102KB,false,AVW,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03092764-6A1326548,2026-05-21T23:24:50.000Z,Siteworks Commence At The High-Grade Mt Cattlin Gold Project,1131KB,true,AVW,,"[""Progress Report""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03088686-6A1324924,2026-05-10T23:27:29.000Z,Tenure Extended at the High-Grade Mt Cattlin Gold Project,959KB,true,AVW,,"[""Progress Report""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03086043-6A1323840,2026-05-03T23:30:48.000Z,Approvals Secured at the High-Grade Mt Cattlin Gold Project,749KB,true,AVW,,"[""Progress Report""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03083703-6A1322658,2026-04-28T23:29:57.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,4637KB,true,AVW,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
AVW,204282222,2924-03071434-6A1317618,2026-03-23T22:49:25.000Z,High-Grade Gold Confirmed at Mt Cattlin,2169KB,true,AVW,,"[""Progress Report""]","[{""symbolDisplay"": ""AVW""}]","[{""symbol"": ""AVW"", ""xid"": ""52305562"", ""ASXSecurityType"": 1, ""displayName"": ""AVIRA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000AVW3"", ""xidEntity"": 204282222}]","[""AVW"", """"]"
