ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AW1,688172216,2924-03105833-6A1331710,2026-06-30T08:42:52.000Z,Cleansing Statement,482KB,false,AW1,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03105828-6A1331705,2026-06-30T08:40:57.000Z,Application for quotation of securities - AW1,20KB,false,AW1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03103514-6A1330841,2026-06-24T07:09:54.000Z,Results of General Meeting,129KB,false,AW1,,"[""Results of Meeting""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03103279-6A1330757,2026-06-23T23:31:53.000Z,Storm PFS and Activity Update,707KB,true,AW1,,"[""Progress Report""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03098187-6A1328686,2026-06-08T23:05:26.000Z,Significant indium-zinc-gold discovery at West Desert,4846KB,true,AW1,,"[""Progress Report""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03097162-6A1328292,2026-06-03T23:28:39.000Z,West Desert Expands High-Grade Critical Metals Potential,3967KB,true,AW1,,"[""Progress Report""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03095336-6A1327600,2026-05-29T06:07:18.000Z,Notification regarding unquoted securities - AW1,16KB,false,AW1,,"[""Appendix 3G""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03095335-6A1327598,2026-05-29T06:07:03.000Z,Proposed issue of securities - AW1,15KB,false,AW1,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03092945-6A1326609,2026-05-22T06:31:58.000Z,Notice of General Meeting/Proxy Form,662KB,false,AW1,,"[""Proxy Form"", ""Notice of General Meeting"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
AW1,688172216,2924-03089558-6A1325274,2026-05-12T23:08:58.000Z,Investor Webinar,447KB,false,AW1,,"[""Web Cast""]","[{""symbolDisplay"": ""AW1""}]","[{""symbol"": ""AW1"", ""xid"": ""689290648"", ""ASXSecurityType"": 1, ""displayName"": ""AMERICAN WEST METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000187239"", ""xidEntity"": 688172216}]","[""AW1"", """"]"
