ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AXL,888677299,2924-03102410-3A695720,2026-06-21T23:38:05.000Z,Axel Validates Ionic REE ISR Development Pathway,1261KB,true,AXL,,"[""Progress Report""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03099261-3A695111,2026-06-11T01:14:16.000Z,Initial Director's Interest Notice - PM,232KB,false,AXL,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03099119-3A695082,2026-06-10T22:59:05.000Z,Appointment of Managing Director,329KB,true,AXL,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03087102-3A692769,2026-05-05T23:16:31.000Z,Woolrich REE Drilling Supports ISR and Resource Upgrade Path,2167KB,true,AXL,,"[""Progress Report""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03086602-3A692686,2026-05-04T23:30:12.000Z,RIU Resources Round-Up Presentation,3212KB,true,AXL,,"[""Company Presentation""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03083599-3A692155,2026-04-28T22:51:22.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1882KB,true,AXL,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03080848-3A691731,2026-04-21T00:48:49.000Z,Change of Director's Interest Notice - PD,236KB,false,AXL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03080844-3A691730,2026-04-21T00:43:49.000Z,Notification of cessation of securities - AXL,12KB,false,AXL,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03080355-3A691633,2026-04-19T23:33:14.000Z,REE ISR Column Testing Achieves Flow-Through Milestone,1502KB,true,AXL,,"[""Progress Report""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03079806-3A691542,2026-04-16T23:15:47.000Z,Emerging Wealth Winners Conference Presentation,3192KB,true,AXL,,"[""Company Presentation""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03078014-3A691189,2026-04-12T23:34:02.000Z,ISR REE Field Trial Area Selected at Woolrich Deposit,1016KB,true,AXL,,"[""Progress Report""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03068053-3A689396,2026-03-13T04:02:44.000Z,Half Yearly Report and Accounts,2743KB,false,AXL,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03065204-3A688890,2026-03-05T21:21:22.000Z,Initial Director's Interest Notice - IR,232KB,false,AXL,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03064345-3A688723,2026-03-03T22:25:14.000Z,Appointment of Non-Executive Director,441KB,false,AXL,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03055675-3A686952,2026-02-11T22:06:39.000Z,Bell Potter Unearthed Conference Presentation,3060KB,true,AXL,,"[""Company Presentation""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
AXL,888677299,2924-03055128-3A686857,2026-02-10T21:21:05.000Z,ANSTO confirms over 96% MREO recovery at Caladao,1319KB,true,AXL,,"[""Progress Report""]","[{""symbolDisplay"": ""AXL""}]","[{""symbol"": ""AXL"", ""xid"": ""888655200"", ""ASXSecurityType"": 1, ""displayName"": ""AXEL REE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000336018"", ""xidEntity"": 888677299}]","[""AXL"", """"]"
