ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
AXN,204283162,2924-03104210-6A1331109,2026-06-25T23:12:47.000Z,NiWest Project Update - Vat Leach Testwork commenced,470KB,true,AXN,,"[""Progress Report""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03103679-6A1330908,2026-06-24T22:31:02.000Z,Existing Unsecured Loans Extended to 30 June 2027,466KB,true,AXN,,"[""Progress Report"", ""Debt Facility""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03098558-6A1328823,2026-06-09T22:15:40.000Z,Notification of cessation of securities - AXN,13KB,false,AXN,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03098549-6A1328822,2026-06-09T09:29:35.000Z,Application for quotation of securities - AXN,16KB,false,AXN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03098548-6A1328821,2026-06-09T09:29:20.000Z,Exercise of Performance Rights Appx 2A and Cleansing Notice,471KB,false,AXN,,"[""Issued Capital - Other"", ""Cleansing Notice""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03095857-6A1327798,2026-06-01T04:31:09.000Z,Change Of Company Secretary,436KB,false,AXN,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03089316-6A1325171,2026-05-12T06:46:52.000Z,Change of Director's Interest Notice,275KB,false,AXN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03089315-6A1325170,2026-05-12T06:46:27.000Z,Change of Director's Interest Notice,265KB,false,AXN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03089313-6A1325169,2026-05-12T06:45:32.000Z,Change of Director's Interest Notice,266KB,false,AXN,,"[""Change in Basis of Quotation""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03087422-6A1324421,2026-05-06T08:38:34.000Z,Change in substantial holding,775KB,false,AXN,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
AXN,204283162,2924-03086746-6A1324134,2026-05-05T05:17:24.000Z,Drilling Results and Quarterly - Amendment and Retraction,1330KB,true,AXN,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""AXN""}]","[{""symbol"": ""AXN"", ""xid"": ""139906"", ""ASXSecurityType"": 1, ""displayName"": ""ALLIANCE NICKEL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000265381"", ""xidEntity"": 204283162}]","[""AXN"", """"]"
