ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BEZ,204287284,2924-03105515-6A1331588,2026-06-30T01:44:20.000Z,Receipt of Purported Notice under s.143 of CBCA,115KB,false,BEZ,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03101984-6A1330187,2026-06-19T04:17:00.000Z,Receipt of Purported Notice under S143 of CBCA,114KB,false,BEZ,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03101543-6A1330004,2026-06-18T02:34:15.000Z,Final Director's Interest Notice,254KB,false,BEZ,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03101204-6A1329844,2026-06-17T06:49:07.000Z,Results of Meeting,306KB,false,BEZ,,"[""Results of Meeting""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03101125-6A1329810,2026-06-17T03:35:20.000Z,Report of Voting Results,148KB,false,BEZ,,"[""Results of Meeting""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03098806-6A1328923,2026-06-10T01:14:56.000Z,Letter to Shareholders,232KB,false,BEZ,,"[""Notice of Meeting - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03096006-6A1327833,2026-06-01T22:18:41.000Z,Statement of CDIs on issue - BEZ,11KB,false,BEZ,,"[""Alteration to issued capital""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03091509-6A1326090,2026-05-19T01:59:08.000Z,Notice of Meeting and Mgt Information Circular Proxy Form,1709KB,false,BEZ,,"[""Proxy Form"", ""Notice of Meeting - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03090690-6A1325726,2026-05-15T08:33:40.000Z,Change of Company Secretary,135KB,false,BEZ,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03090523-6A1325657,2026-05-15T02:11:17.000Z,Interim Consolidated Financial Statements (31 March 2026),504KB,false,BEZ,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
BEZ,204287284,2924-03090520-6A1325656,2026-05-15T02:05:37.000Z,Management's Discussion and Analysis (31 March 2026),439KB,false,BEZ,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""BEZ""}]","[{""symbol"": ""BEZ"", ""xid"": ""658054407"", ""ASXSecurityType"": 1, ""displayName"": ""BESRA GOLD INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150351"", ""xidEntity"": 204287284}]","[""BEZ"", """"]"
