ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BGD,660678846,2924-03103986-6A1331014,2026-06-25T06:31:39.000Z,Application for quotation of securities - BGD,17KB,false,BGD,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03102320-6A1330342,2026-06-21T22:55:20.000Z,Tunkillia Pre-Feasibility Study Begins,607KB,true,BGD,,"[""Progress Report""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03101152-6A1329827,2026-06-17T05:03:31.000Z,Change in substantial holding,102KB,false,BGD,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03100535-6A1329595,2026-06-15T22:56:49.000Z,Expansion of Tunkillia Phase 2 Upgrade Drilling,292KB,true,BGD,,"[""Progress Report""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03099481-6A1329199,2026-06-11T22:22:04.000Z,Becoming a substantial holder,259KB,false,BGD,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03099259-6A1329103,2026-06-11T01:09:31.000Z,Becoming a substantial holder,128KB,false,BGD,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03099257-6A1329101,2026-06-11T01:06:06.000Z,Change in substantial holding,256KB,false,BGD,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03099123-6A1329050,2026-06-10T23:00:45.000Z,Drilling Completed at High-Grade Tolmer Silver Discovery,1272KB,false,BGD,,"[""Progress Report""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03098680-6A1328879,2026-06-09T23:03:51.000Z,Notice pursuant to s708A(5)(e) Corporations Act 2001,216KB,false,BGD,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
BGD,660678846,2924-03098679-6A1328878,2026-06-09T23:01:41.000Z,Application for quotation of securities - BGD,17KB,false,BGD,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BGD""}]","[{""symbol"": ""BGD"", ""xid"": ""660724715"", ""ASXSecurityType"": 1, ""displayName"": ""BARTON GOLD HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153215"", ""xidEntity"": 660678846}]","[""BGD"", """"]"
