ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BIS,204199716,2924-03064291-2A1657768,2026-03-03T21:48:34.000Z,Investor Presentation,1985KB,false,BIS,,"[""Company Presentation""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03062384-2A1656668,2026-02-26T21:51:17.000Z,Dividend/Distribution - BIS,13KB,false,BIS,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03062383-2A1656684,2026-02-26T21:51:06.000Z,1H26 Results for Announcement to Market & Half Year Report,761KB,true,BIS,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report"", ""Dividend Record Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03030773-2A1639672,2025-11-30T21:12:34.000Z,Change in substantial holding,483KB,false,BIS,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03030723-2A1639622,2025-11-28T08:33:21.000Z,Change of Directors Interest Notice,483KB,false,BIS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03019922-2A1634366,2025-11-06T03:38:56.000Z,Change of Director's Interest Notice,231KB,false,BIS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03019919-2A1634363,2025-11-06T03:31:16.000Z,Notification regarding unquoted securities - BIS,16KB,false,BIS,,"[""Appendix 3G""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03019918-2A1634362,2025-11-06T03:29:06.000Z,Results of Meeting,381KB,false,BIS,,"[""Results of Meeting""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03019774-2A1634262,2025-11-05T23:29:05.000Z,Chair's Address to Shareholders,153KB,false,BIS,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
BIS,204199716,2924-03019758-2A1634256,2025-11-05T23:05:59.000Z,Dividend/Distribution - BIS,13KB,true,BIS,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""BIS""}]","[{""symbol"": ""BIS"", ""xid"": ""41380"", ""ASXSecurityType"": 1, ""displayName"": ""BISALLOY STEEL GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BIS6"", ""xidEntity"": 204199716, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Steel""}]","[""BIS"", """"]"
