ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BMH,235689518,2924-03105545-6A1331591,2026-06-30T02:24:55.000Z,Trading Halt,551KB,true,BMH,,"[""Trading Halt""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03105508-6A1331587,2026-06-30T01:37:20.000Z,Pause in Trading,113KB,true,BMH,,"[""Notice Pending""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03105240-6A1331508,2026-06-29T22:08:05.000Z,Modular Housing Project Commences - Units Delivered to Site,352KB,true,BMH,,"[""Progress Report""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03083902-6A1322756,2026-04-29T04:19:59.000Z,Quarterly Activities and Appendix 4C,550KB,true,BMH,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03062929-6A1314193,2026-02-27T05:08:24.000Z,Half Year Accounts and Appendix 4D,1019KB,true,BMH,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03049913-6A1308919,2026-01-28T21:16:05.000Z,Quarterly Activities and Appendix 4C,941KB,true,BMH,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03031287-6A1300668,2025-12-01T05:51:55.000Z,Results of Annual General Meeting,340KB,false,BMH,,"[""Results of Meeting""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03016436-6A1294267,2025-10-30T01:22:54.000Z,Quarterly Activities and Appendix 4C,528KB,true,BMH,,"[""Commitments Test Entity - First Quarter Activity Report"", ""Commitments Test Entity - First Quarter Cashflow Report""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03011784-6A1291978,2025-10-21T23:57:15.000Z,Notice of Annual General Meeting,471KB,false,BMH,,"[""Web Cast"", ""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03006595-6A1289578,2025-10-10T08:23:07.000Z,Appendix 3X - Andy Yuan,230KB,false,BMH,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03006594-6A1289577,2025-10-10T08:22:37.000Z,Appendix 3Z - Jack Spencer-Cotton,318KB,false,BMH,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03006592-6A1289576,2025-10-10T08:20:57.000Z,Resignation and Appointment of Director,114KB,false,BMH,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03005965-6A1289338,2025-10-09T08:44:23.000Z,Date of AGM and Closing Date for Director Nominations,252KB,false,BMH,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03001281-6A1287326,2025-09-30T08:03:50.000Z,Appendix 4G and Corporate Governance Statement,458KB,false,BMH,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03001280-6A1287324,2025-09-30T08:02:30.000Z,Annual Report to Shareholders,1184KB,false,BMH,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-03001278-6A1287322,2025-09-30T08:01:45.000Z,Impairment of Assets,255KB,true,BMH,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-02987130-6A1281249,2025-08-29T07:59:14.000Z,Updated Appendix 4E and Preliminary Final Report,367KB,true,BMH,,"[""Preliminary Final Report""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
BMH,235689518,2924-02987095-6A1281241,2025-08-29T07:37:59.000Z,Appendix 4E and Preliminary Final Report,315KB,true,BMH,,"[""Preliminary Final Report""]","[{""symbolDisplay"": ""BMH""}]","[{""symbol"": ""BMH"", ""xid"": ""275042487"", ""ASXSecurityType"": 1, ""displayName"": ""BAUMART HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMH1"", ""xidEntity"": 235689518}]","[""BMH"", """"]"
