ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BMN,204103118,2924-03104687-6A1331298,2026-06-28T22:21:46.000Z,Etango Construction Early Works Update,19731KB,false,BMN,,"[""Progress Report""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03086976-6A1324246,2026-05-05T22:22:06.000Z,Macquarie Australia Conference 2026 Presentation,3403KB,false,BMN,,"[""Company Presentation""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03083637-6A1322625,2026-04-28T23:02:47.000Z,Quarterly Activities Report,16523KB,true,BMN,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03083619-6A1322618,2026-04-28T22:56:47.000Z,Appendix 5B - Quarterly Cash Flow Report,235KB,true,BMN,,"[""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03081315-6A1321492,2026-04-22T01:52:59.000Z,March 2026 Quarterly Update Webinar,277KB,false,BMN,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03076170-6A1319513,2026-04-07T07:20:22.000Z,Change in substantial holding,681KB,false,BMN,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03075530-6A1319262,2026-04-02T06:14:05.000Z,Change in substantial holding,1003KB,false,BMN,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03074216-6A1318762,2026-03-31T05:54:42.000Z,Application for quotation of securities - BMN,21KB,false,BMN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03074213-6A1318759,2026-03-31T05:53:12.000Z,Notification regarding unquoted securities - BMN,18KB,false,BMN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
BMN,204103118,2924-03074210-6A1318758,2026-03-31T05:50:37.000Z,Notification of cessation of securities - BMN,13KB,false,BMN,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""BMN""}]","[{""symbol"": ""BMN"", ""xid"": ""1692863"", ""ASXSecurityType"": 1, ""displayName"": ""BANNERMAN ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BMN9"", ""xidEntity"": 204103118}]","[""BMN"", """"]"
