ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BNL,204228904,2924-03105854-6A1331732,2026-06-30T09:04:57.000Z,Notification regarding unquoted securities - BNL,16KB,false,BNL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03105791-6A1331683,2026-06-30T08:10:51.000Z,s708A Notice,171KB,false,BNL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03105788-6A1331681,2026-06-30T08:08:56.000Z,Application for quotation of securities - BNL,15KB,false,BNL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03104588-6A1331244,2026-06-26T07:31:18.000Z,Change of Directors' Interest Notices,582KB,false,BNL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03104585-6A1331241,2026-06-26T07:27:53.000Z,Notification regarding unquoted securities - BNL,14KB,false,BNL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03103977-6A1331010,2026-06-25T06:21:29.000Z,Change of Director's Interest Notice,321KB,false,BNL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03103976-6A1331008,2026-06-25T06:21:04.000Z,s708A Notice,171KB,false,BNL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03103972-6A1331006,2026-06-25T06:19:19.000Z,Application for quotation of securities - BNL,15KB,false,BNL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03103045-6A1330644,2026-06-23T07:49:55.000Z,s708A Notice,171KB,false,BNL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03103044-6A1330643,2026-06-23T07:48:00.000Z,Application for quotation of securities - BNL,15KB,false,BNL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03098423-6A1328766,2026-06-09T05:29:34.000Z,Change in substantial holding,838KB,false,BNL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03097953-6A1328561,2026-06-05T09:20:26.000Z,Change of Director's Interest Notice,200KB,false,BNL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03097664-6A1328455,2026-06-05T00:03:48.000Z,Notification regarding unquoted securities - BNL,14KB,false,BNL,,"[""Appendix 3G""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03097663-6A1328454,2026-06-05T00:02:38.000Z,Application for quotation of securities - BNL,15KB,false,BNL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03097662-6A1328453,2026-06-05T00:01:13.000Z,s708A Notice,124KB,false,BNL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03097660-6A1328452,2026-06-05T00:00:43.000Z,Application for quotation of securities - BNL,15KB,false,BNL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
BNL,204228904,2924-03097656-6A1328451,2026-06-04T23:59:38.000Z,Application for quotation of securities - BNL,15KB,false,BNL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BNL""}]","[{""symbol"": ""BNL"", ""xid"": ""56535"", ""ASXSecurityType"": 1, ""displayName"": ""BLUE STAR HELIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000014458"", ""xidEntity"": 204228904}]","[""BNL"", """"]"
