ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BOA,214971598,2924-03105741-6A1331654,2026-06-30T07:23:16.000Z,Notification of cessation of securities - BOA,12KB,false,BOA,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03105051-6A1331437,2026-06-29T06:04:42.000Z,BOA Investor Webinar,45KB,false,BOA,,"[""Web Cast""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03103849-6A1330963,2026-06-25T00:49:03.000Z,Presentation Acquisition of Neds Creek Copper Deposits,5463KB,true,BOA,,"[""Company Presentation"", ""Asset Acquisition""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03103832-6A1330961,2026-06-25T00:24:28.000Z,Reinstatement to Quotation,82KB,true,BOA,,"[""Reinstatement to Official Quotation""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03103831-6A1330958,2026-06-25T00:24:18.000Z,Proposed issue of securities - BOA,19KB,false,BOA,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03103830-6A1330953,2026-06-25T00:24:03.000Z,"BOA Acquires Copper Deposits in the Neds Creek Project, WA",2177KB,true,BOA,,"[""Asset Acquisition"", ""Progress Report"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03103305-6A1330768,2026-06-23T23:44:33.000Z,Request for Extension of Voluntary Suspension,91KB,false,BOA,,"[""Suspension - Extension""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03101834-6A1330117,2026-06-18T23:20:43.000Z,Suspension from Quotation,186KB,true,BOA,,"[""Suspension from Official Quotation""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03101041-6A1329785,2026-06-16T23:49:44.000Z,Trading Halt,176KB,true,BOA,,"[""Trading Halt""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03100525-6A1329590,2026-06-15T22:50:59.000Z,Tenements granted at Neds Creek Copper Project,1406KB,false,BOA,,"[""Progress Report""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03091259-6A1325971,2026-05-18T22:12:27.000Z,Company Secretary Appointment/Resignation,60KB,false,BOA,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
BOA,214971598,2924-03087708-6A1324541,2026-05-06T23:55:45.000Z,Heritage Protection Agreements finalised,1733KB,false,BOA,,"[""Progress Report""]","[{""symbolDisplay"": ""BOA""}]","[{""symbol"": ""BOA"", ""xid"": ""41268488"", ""ASXSecurityType"": 1, ""displayName"": ""BOA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOA2"", ""xidEntity"": 214971598}]","[""BOA"", """"]"
