ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BOC,204181795,2924-03105627-3A696268,2026-06-30T04:58:21.000Z,Update EL01 Panguna,680KB,true,BOC,,"[""Progress Report""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03101022-3A695458,2026-06-16T23:32:49.000Z,Update Mining Act amendment & EL1,657KB,true,BOC,,"[""Progress Report""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03094485-3A694162,2026-05-27T22:25:41.000Z,Details of Auditor Resignation -KPMG,275KB,false,BOC,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03092588-3A693780,2026-05-21T07:34:59.000Z,Results of Meeting 21 May 2026,712KB,false,BOC,,"[""Results of Meeting""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03092533-3A693768,2026-05-21T06:04:23.000Z,Chair's Address to Shareholders,2386KB,true,BOC,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03092458-3A693755,2026-05-21T02:30:37.000Z,Appointment of CEO - Sir Melchior Togolo CBE,43KB,true,BOC,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03092357-3A693738,2026-05-20T23:23:26.000Z,Reinstatement to Quotation,160KB,true,BOC,,"[""Reinstatement to Official Quotation""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03092355-3A693693,2026-05-20T23:23:01.000Z,2025 Annual Report to shareholders,7635KB,false,BOC,,"[""Corporate Governance"", ""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report"", ""Appendix 4G""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03087417-3A692814,2026-05-06T08:22:34.000Z,Notice of 2026 Annual General Meeting & Proxy Form,1024KB,false,BOC,,"[""Web Cast"", ""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
BOC,204181795,2924-03077686-3A691127,2026-04-10T06:12:18.000Z,Non Binding Cooperation Agreement Lloyds Metals and Energy L,671KB,true,BOC,,"[""Asset Disposal""]","[{""symbolDisplay"": ""BOC""}]","[{""symbol"": ""BOC"", ""xid"": ""64210"", ""ASXSecurityType"": 1, ""displayName"": ""BOUGAINVILLE COPPER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""PG0008526520"", ""xidEntity"": 204181795, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""BOC"", """"]"
