ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BOE,204207831,2924-03102959-6A1330604,2026-06-23T04:50:59.000Z,Change in substantial holding,928KB,false,BOE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03101326-6A1329906,2026-06-17T22:20:03.000Z,Change in substantial holding,1067KB,false,BOE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03101129-6A1329814,2026-06-17T03:51:40.000Z,High-Grade Uranium Mineralisation at Alta Mesa East,198KB,false,BOE,,"[""Progress Report""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03096389-6A1327989,2026-06-02T06:35:59.000Z,Change in substantial holding,205KB,false,BOE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03096338-6A1327961,2026-06-02T04:48:13.000Z,Uranium mineralisation extended at Alta Mesa Project,195KB,false,BOE,,"[""Progress Report""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03096051-6A1327861,2026-06-01T22:24:11.000Z,Ceasing to be a substantial holder,216KB,false,BOE,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03095237-6A1327556,2026-05-29T04:00:57.000Z,Notification of cessation of securities - BOE,12KB,false,BOE,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03095235-6A1327555,2026-05-29T04:00:47.000Z,Change of Director's Interest Notice,320KB,false,BOE,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03095228-6A1327553,2026-05-29T03:58:17.000Z,Notification regarding unquoted securities - BOE,16KB,false,BOE,,"[""Appendix 3G""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
BOE,204207831,2924-03091731-6A1326179,2026-05-19T22:22:41.000Z,Change in substantial holding,874KB,false,BOE,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BOE""}]","[{""symbol"": ""BOE"", ""xid"": ""7501402"", ""ASXSecurityType"": 1, ""displayName"": ""BOSS ENERGY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BOE4"", ""xidEntity"": 204207831}]","[""BOE"", """"]"
