ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BST,1071322759,2924-03101292-2A1677916,2026-06-17T09:15:18.000Z,Becoming a substantial holder,481KB,false,BST,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03099699-2A1677162,2026-06-12T01:55:00.000Z,Becoming a substantial holder,419KB,false,BST,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03099696-2A1677159,2026-06-12T01:46:30.000Z,Becoming a substantial holder,431KB,false,BST,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03099690-2A1677154,2026-06-12T01:31:00.000Z,Initial Director's Interest Notice - Michael Sinkowitsch,289KB,false,BST,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03099687-2A1677152,2026-06-12T01:29:00.000Z,Initial Director's Interest Notice - Andrew Windsor,282KB,false,BST,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03099686-2A1677151,2026-06-12T01:26:50.000Z,Initial Director's Interest Notice - Blake Burton,282KB,false,BST,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03099684-2A1677149,2026-06-12T01:25:50.000Z,Initial Director's Interest Notice - Justin Olde,274KB,false,BST,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03098524-2A1676599,2026-06-09T08:34:40.000Z,Boresight ASX Listing Debut,322KB,false,BST,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03098274-2A1676329,2026-06-08T23:49:16.000Z,Investor Presentation June 2026,2002KB,false,BST,,"[""Company Presentation""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097958-6A1328562,2026-06-05T09:29:57.000Z,Boresight Ltd Investor Webinar,357KB,false,BST,,"[""Web Cast"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097803-6A1328504,2026-06-05T06:06:06.000Z,Top 20 Holders,23KB,false,BST,,"[""Top 20 shareholders"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097802-6A1328505,2026-06-05T06:06:05.000Z,Pre-Quotation Disclosure,324KB,false,BST,,"[""Disclosure Document"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097801-6A1328503,2026-06-05T06:05:55.000Z,Distribution Schedule,20KB,false,BST,,"[""Issued Capital - Other"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097800-6A1328501,2026-06-05T06:05:51.000Z,Corporate Governance Statement,164KB,false,BST,,"[""Corporate Governance"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097799-6A1328502,2026-06-05T06:05:50.000Z,Securities Trading Policy,179KB,false,BST,,"[""Admission to Official List"", ""Trading Policy""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097798-6A1328500,2026-06-05T06:05:45.000Z,Employee Securities Incentive Plan,366KB,false,BST,,"[""Admission to Official List"", ""Company Administration - Other""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097797-6A1328499,2026-06-05T06:05:35.000Z,Half-Year Report 31 December 2025,1445KB,false,BST,,"[""Periodic Reports - Other"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097796-6A1328498,2026-06-05T06:05:30.000Z,Annual Report 30 June 2025,1690KB,false,BST,,"[""Periodic Reports - Other"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097795-6A1328497,2026-06-05T06:05:25.000Z,Annual Report 30 June 2024,1795KB,false,BST,,"[""Periodic Reports - Other"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097794-6A1328496,2026-06-05T06:05:20.000Z,Constitution,536KB,false,BST,,"[""Admission to Official List"", ""Constitution""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097793-6A1328495,2026-06-05T06:05:15.000Z,Replacement Prospectus,2526KB,false,BST,,"[""Issues to the Public"", ""Disclosure Document"", ""Admission to Official List""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097792-6A1328494,2026-06-05T06:05:05.000Z,Appendix 1A and Information Form and Checklist,439KB,false,BST,,"[""Issued Capital - Other"", ""Admission to Official List"", ""Company Administration - Other""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
BST,1071322759,2924-03097791-6A1328493,2026-06-05T06:05:00.000Z,ASX Market Announcement - Admission and Quotation,101KB,false,BST,,"[""Admission to Official List"", ""Commencement of Official Quotation""]","[{""symbolDisplay"": ""BST""}]","[{""symbol"": ""BST"", ""xid"": ""1071326753"", ""ASXSecurityType"": 1, ""displayName"": ""BORESIGHT LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000467094"", ""xidEntity"": 1071322759, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Aerospace & Defense"", ""subIndustry"": ""Aerospace & Defense""}]","[""BST"", """"]"
