ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BSX,372435632,2924-03102975-6A1330611,2026-06-23T05:45:49.000Z,Notification regarding unquoted securities - BSX,16KB,false,BSX,,"[""Appendix 3G""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03098488-6A1328780,2026-06-09T07:21:19.000Z,Becoming a substantial holder,191KB,false,BSX,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03096023-6A1327843,2026-06-01T22:21:26.000Z,Key Consultants Appointed as Mankayan PFS Gains Moment,200KB,false,BSX,,"[""Progress Report""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03088389-6A1324776,2026-05-08T06:33:47.000Z,Cleansing Statement,86KB,false,BSX,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03088380-6A1324772,2026-05-08T06:29:37.000Z,Application for quotation of securities - BSX,16KB,false,BSX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03084425-6A1323076,2026-04-29T23:08:16.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,506KB,true,BSX,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03079917-6A1320891,2026-04-17T01:30:17.000Z,Notification of cessation of securities - BSX,15KB,false,BSX,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03079138-6A1320573,2026-04-15T06:26:12.000Z,Update - Application for quotation of securities - BSX,22KB,false,BSX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03078391-6A1320311,2026-04-13T23:04:31.000Z,Mankayan Copper-Gold Project Update,212KB,true,BSX,,"[""Progress Report""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
BSX,372435632,2924-03071194-6A1317544,2026-03-23T06:16:23.000Z,Cleansing Statement,86KB,false,BSX,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""BSX""}]","[{""symbol"": ""BSX"", ""xid"": ""378488321"", ""ASXSecurityType"": 1, ""displayName"": ""BLACKSTONE MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BSX5"", ""xidEntity"": 372435632}]","[""BSX"", """"]"
