ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BTI,235286723,2924-03104156-2A1679596,2026-06-25T22:19:07.000Z,Update on Portfolio Valuations,111KB,true,BTI,,"[""Progress Report""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03097507-2A1675864,2026-06-04T22:24:38.000Z,Net Tangible Asset Backing,762KB,false,BTI,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03088959-2A1671543,2026-05-11T22:19:59.000Z,Net Tangible Asset Backing,1413KB,false,BTI,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03076830-2A1665188,2026-04-08T22:21:56.000Z,Net Tangible Asset Backing,802KB,false,BTI,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03072475-2A1662574,2026-03-26T01:59:35.000Z,Change of Director's Interest Notice - Paul Wilson,294KB,false,BTI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03070977-2A1661721,2026-03-22T22:38:50.000Z,DASH Follow-on Investment and Change to Valuation,93KB,true,BTI,,"[""Progress Report""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03065805-2A1658910,2026-03-08T21:22:44.000Z,Net Tangible Asset Backing,543KB,false,BTI,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03065803-2A1658909,2026-03-08T21:22:24.000Z,Change of Director's Interest Notice - David Kirk,339KB,false,BTI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03065802-2A1658908,2026-03-08T21:22:14.000Z,Change of Director's Interest Notice - Paul Wilson,296KB,false,BTI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
BTI,235286723,2924-03065801-2A1658907,2026-03-08T21:22:04.000Z,Change of Director's Interest Notice - Andrew Bullock,278KB,false,BTI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BTI""}]","[{""symbol"": ""BTI"", ""xid"": ""80536682"", ""ASXSecurityType"": 1, ""displayName"": ""BAILADOR TECHNOLOGY INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000BTI4"", ""xidEntity"": 235286723}]","[""BTI"", """"]"
