ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BUS,753948216,2924-03099972-6A1329368,2026-06-14T22:23:34.000Z,Broad Geochemical Anomalies at Tin Creek,1581KB,true,BUS,,"[""Progress Report""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03081506-6A1321585,2026-04-22T22:12:31.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,2648KB,true,BUS,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03071032-6A1317487,2026-03-22T23:25:00.000Z,Company Update,237KB,true,BUS,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03067704-6A1316109,2026-03-12T08:08:31.000Z,Half Year Accounts,2196KB,false,BUS,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03066619-6A1315624,2026-03-10T05:54:47.000Z,Notification regarding unquoted securities - BUS,17KB,false,BUS,,"[""Appendix 3G""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03061944-6A1313896,2026-02-26T02:31:45.000Z,Results of Meeting,256KB,false,BUS,,"[""Results of Meeting""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03056419-6A1311988,2026-02-13T06:30:05.000Z,Response to ASX Appendix 3Y Query,409KB,false,BUS,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03056156-6A1311890,2026-02-12T22:35:28.000Z,Change of Director's Interest Notice BO,246KB,false,BUS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03054551-6A1311188,2026-02-09T06:29:41.000Z,Change of Director's Interest Notice,278KB,false,BUS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
BUS,753948216,2924-03053649-6A1310830,2026-02-05T21:54:44.000Z,Change of Director's Interest Notice BB,247KB,false,BUS,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BUS""}]","[{""symbol"": ""BUS"", ""xid"": ""753951224"", ""ASXSecurityType"": 1, ""displayName"": ""BUBALUS RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000238479"", ""xidEntity"": 753948216}]","[""BUS"", """"]"
