ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
BWP,204168117,2924-03105720-6A1331645,2026-06-30T07:03:06.000Z,Appendix 3Y - Quinn,271KB,false,BWP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03103287-6A1330759,2026-06-23T23:33:28.000Z,Property Revaluations Update,243KB,false,BWP,,"[""Periodic Reports - Other"", ""Progress Report""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03103083-6A1330673,2026-06-23T09:28:40.000Z,June 2026 Distribution Estimate,250KB,true,BWP,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03103081-6A1330672,2026-06-23T09:25:10.000Z,Dividend/Distribution - BWP,18KB,true,BWP,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03096947-6A1328224,2026-06-03T08:31:49.000Z,"Appendix 3Y - Carter, Harris, Quinn",338KB,false,BWP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03094303-6A1327185,2026-05-27T06:24:50.000Z,Application for quotation of securities - BWP,14KB,false,BWP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03094070-6A1327085,2026-05-26T23:01:57.000Z,Successful Completion of Retail Entitlement Offer,361KB,false,BWP,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03093543-6A1326870,2026-05-25T22:18:48.000Z,Appendix 3Y - Harris,268KB,false,BWP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03092040-6A1326280,2026-05-20T04:16:23.000Z,Change in substantial holding,492KB,false,BWP,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03090510-6A1325653,2026-05-15T01:54:07.000Z,Update - Application for quotation of securities - BWP,13KB,false,BWP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03090268-6A1325566,2026-05-14T08:40:31.000Z,Application for quotation of securities - BWP,14KB,false,BWP,,"[""Appendix 2A""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03090207-6A1325531,2026-05-14T06:20:05.000Z,Update - Proposed issue of securities - BWP,21KB,false,BWP,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
BWP,204168117,2924-03089036-6A1325060,2026-05-11T22:38:33.000Z,Retail Entitlement Offer Booklet,2626KB,false,BWP,,"[""Company Presentation"", ""Non-Renounceable Issue"", ""Disclosure Document""]","[{""symbolDisplay"": ""BWP""}]","[{""symbol"": ""BWP"", ""xid"": ""68005"", ""ASXSecurityType"": 6, ""displayName"": ""BWP GROUP"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU000000BWP3"", ""xidEntity"": 204168117}]","[""BWP"", """"]"
