ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CAN,404515427,2924-03105443-3A696241,2026-06-29T23:41:40.000Z,Early Redemption of Convertible Notes,244KB,true,CAN,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03105111-3A696162,2026-06-29T07:03:12.000Z,Ceasing to be a substantial holder,167KB,false,CAN,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03101611-3A695572,2026-06-18T06:26:46.000Z,Application for quotation of securities - CAN,17KB,false,CAN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03093889-3A694056,2026-05-26T07:18:21.000Z,Change in substantial holding,173KB,false,CAN,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03092893-3A693849,2026-05-22T04:56:37.000Z,Application for quotation of securities - CAN,17KB,false,CAN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03088608-3A693033,2026-05-10T22:50:44.000Z,Final Director's Interest Notice,362KB,false,CAN,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03086597-3A692685,2026-05-04T23:25:47.000Z,Cann announces leadership transition,304KB,true,CAN,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03085607-3A692507,2026-05-01T04:47:51.000Z,Application for quotation of securities - CAN,17KB,false,CAN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03083694-3A692175,2026-04-28T23:25:57.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,646KB,true,CAN,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03079115-3A691397,2026-04-15T05:33:17.000Z,Application for quotation of securities - CAN,17KB,false,CAN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03070697-3A689844,2026-03-20T06:07:33.000Z,Change in substantial holding,151KB,false,CAN,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03069760-3A689677,2026-03-18T05:17:20.000Z,Cleansing Notice,310KB,false,CAN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
CAN,404515427,2924-03069742-3A689676,2026-03-18T04:39:59.000Z,Notification regarding unquoted securities - CAN,20KB,false,CAN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""CAN""}]","[{""symbol"": ""CAN"", ""xid"": ""408163674"", ""ASXSecurityType"": 1, ""displayName"": ""CANN GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CAN2"", ""xidEntity"": 404515427}]","[""CAN"", """"]"
