ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CBO,672239452,2924-03081892-3A691886,2026-04-23T06:34:15.000Z,Initial Director's Interest Notice - Masters,208KB,false,CBO,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03081888-3A691884,2026-04-23T06:28:34.000Z,Appointment of Daniel Masters as Non-Executive Director,125KB,false,CBO,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03075907-3A690838,2026-04-06T23:40:39.000Z,Application for quotation of securities - CBO,15KB,false,CBO,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03072378-3A690186,2026-03-25T22:39:58.000Z,Notification regarding unquoted securities - CBO,18KB,false,CBO,,"[""Appendix 3G""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03072376-3A690183,2026-03-25T22:39:33.000Z,"Completion of the Acquisition of California Olive Ranch, Inc",114KB,false,CBO,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03069186-3A689573,2026-03-16T22:42:38.000Z,Application for quotation of securities - CBO,15KB,false,CBO,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03067608-3A689318,2026-03-12T05:40:01.000Z,"Update on Acquisition of California Olive Ranch, Inc.",113KB,true,CBO,,"[""Asset Acquisition"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03066831-3A689192,2026-03-10T22:05:59.000Z,Trading Halt,195KB,true,CBO,,"[""Trading Halt""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03066381-3A689094,2026-03-09T22:39:50.000Z,Shareholder Open Day,3318KB,false,CBO,,"[""Letter to Shareholders - Other""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
CBO,672239452,2924-03058848-3A687574,2026-02-19T22:20:06.000Z,Half Year 2026 Results Presentation,6505KB,true,CBO,,"[""Company Presentation"", ""Web Cast"", ""Half Yearly Report""]","[{""symbolDisplay"": ""CBO""}]","[{""symbol"": ""CBO"", ""xid"": ""672265772"", ""ASXSecurityType"": 1, ""displayName"": ""COBRAM ESTATE OLIVES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000167066"", ""xidEntity"": 672239452, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""CBO"", """"]"
