ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CCR,621271399,2924-03105786-3A696294,2026-06-30T08:06:41.000Z,Update - Notification of cessation of securities - CCR,12KB,false,CCR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03105771-3A696291,2026-06-30T07:54:41.000Z,Notification of cessation of securities - CCR,12KB,false,CCR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03105276-3A696190,2026-06-29T22:17:15.000Z,Update - Notification of buy-back - CCR,15KB,false,CCR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03104718-3A696102,2026-06-28T22:25:41.000Z,Update - Notification of buy-back - CCR,15KB,false,CCR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03103704-3A695939,2026-06-24T22:55:07.000Z,Initial Director's Interest Notice - Amended,298KB,false,CCR,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03103461-3A695890,2026-06-24T05:43:39.000Z,Response to ACCC Proceedings,177KB,true,CCR,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03103194-3A695849,2026-06-23T22:41:38.000Z,Update - Notification of buy-back - CCR,15KB,false,CCR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03102851-3A695791,2026-06-22T23:33:59.000Z,Update - Notification of buy-back - CCR,15KB,false,CCR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03102446-3A695728,2026-06-22T00:24:30.000Z,Executive Director appointment,178KB,false,CCR,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
CCR,621271399,2924-03102337-3A695702,2026-06-21T23:07:55.000Z,Update - Notification of buy-back - CCR,15KB,false,CCR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CCR""}]","[{""symbol"": ""CCR"", ""xid"": ""621258852"", ""ASXSecurityType"": 1, ""displayName"": ""CREDIT CLEAR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107526"", ""xidEntity"": 621271399}]","[""CCR"", """"]"
