ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CDO,503205836,2924-03104749-2A1679946,2026-06-28T22:36:06.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03103244-2A1678910,2026-06-23T23:08:08.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03102450-2A1678467,2026-06-22T00:42:55.000Z,Change of Director's Interest Notice,234KB,false,CDO,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03100147-2A1677322,2026-06-14T23:33:04.000Z,June 2026 Investor Presentation,2571KB,false,CDO,,"[""Company Presentation""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03099319-2A1676966,2026-06-11T04:18:42.000Z,NTA and Investment Update May 2026,370KB,false,CDO,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03098829-2A1676727,2026-06-10T02:17:52.000Z,CDO March 2026 Quarterly Webcast,1347KB,false,CDO,,"[""Company Presentation"", ""Web Cast""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03095805-2A1674851,2026-06-01T01:23:22.000Z,Notification of cessation of securities - CDO,12KB,false,CDO,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03095043-2A1674460,2026-05-28T23:14:11.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03094136-2A1674006,2026-05-26T23:45:18.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03093662-2A1673785,2026-05-25T23:19:08.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03093195-2A1673492,2026-05-24T22:44:13.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03091798-2A1672866,2026-05-19T22:49:01.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03090861-2A1672396,2026-05-17T22:53:42.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03090416-2A1672217,2026-05-14T23:07:51.000Z,Update - Notification of buy-back - CDO,15KB,false,CDO,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
CDO,503205836,2924-03089267-2A1671689,2026-05-12T06:09:16.000Z,NTA and Investment Update April 2026 - Updated,573KB,false,CDO,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""CDO""}]","[{""symbol"": ""CDO"", ""xid"": ""503220421"", ""ASXSecurityType"": 1, ""displayName"": ""CADENCE OPPORTUNITIES FUND LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000186165"", ""xidEntity"": 503205836}]","[""CDO"", """"]"
