ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CDR,639375741,2924-03084537-6A1323125,2026-04-29T23:30:36.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,717KB,true,CDR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03065569-6A1315161,2026-03-06T04:54:00.000Z,Half Year Accounts - 31 December 2025,1164KB,false,CDR,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03064733-6A1314896,2026-03-04T21:22:43.000Z,High-grade Molybdenum up to 4.2% at Bull Run,1022KB,false,CDR,,"[""Progress Report""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03056323-6A1311941,2026-02-13T04:20:10.000Z,Response to ASX Price Query,432KB,true,CDR,,"[""Trading Halt Lifted"", ""Response to ASX Query""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03056268-6A1311923,2026-02-13T01:53:34.000Z,Trading Halt,324KB,true,CDR,,"[""Trading Halt""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03056238-6A1311913,2026-02-13T01:05:18.000Z,Pause in Trading,112KB,true,CDR,,"[""Notice Pending""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03048720-6A1308295,2026-01-23T05:43:11.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,724KB,true,CDR,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03045276-6A1306734,2026-01-12T03:21:45.000Z,Response to ASX Price and Volume Query,427KB,true,CDR,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03045151-6A1306688,2026-01-11T22:25:28.000Z,"Change of Company Secretary, CFO and Address",181KB,false,CDR,,"[""Details of Company Address"", ""Details of Registered office address"", ""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03037431-6A1303428,2025-12-14T23:15:33.000Z,Middle Creek Project Update,150KB,false,CDR,,"[""Progress Report""]","[{""symbolDisplay"": ""CDR""}, {""symbolDisplay"": ""MOH""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", ""MOH"", """"]"
CDR,639375741,2924-03025801-6A1298110,2025-11-20T03:16:02.000Z,Results of Meeting,222KB,false,CDR,,"[""Results of Meeting""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03016061-6A1294131,2025-10-29T21:24:58.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1241KB,true,CDR,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
CDR,639375741,2924-03008515-6A1290411,2025-10-15T04:51:00.000Z,2025 Notice of Annual General Meeting / Proxy Form,405KB,false,CDR,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""CDR""}]","[{""symbol"": ""CDR"", ""xid"": ""658758285"", ""ASXSecurityType"": 1, ""displayName"": ""CODRUS MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000151136"", ""xidEntity"": 639375741}]","[""CDR"", """"]"
