ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CEL,199003266,2924-03104981-6A1331404,2026-06-29T02:48:26.000Z,Update - Consolidation/Split - CEL,19KB,false,CEL,,"[""Capital Reconstruction"", ""Alteration to issued capital""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03104441-6A1331183,2026-06-26T04:58:33.000Z,Notice of Extraordinary General Meeting/Proxy Form,1226KB,false,CEL,,"[""Notice of Extraordinary General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03103887-6A1330978,2026-06-25T02:37:18.000Z,Change in substantial holding,339KB,false,CEL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03098637-6A1328859,2026-06-09T22:34:41.000Z,Investor Presentation,1951KB,false,CEL,,"[""Company Presentation""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03097201-6A1328304,2026-06-03T23:55:54.000Z,Investor Webinar,416KB,false,CEL,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03096154-6A1327902,2026-06-01T23:12:31.000Z,First Gold Pour at Hualilan,817KB,true,CEL,,"[""Progress Report""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03095226-6A1327551,2026-05-29T03:55:12.000Z,Results of Annual General Meeting,248KB,false,CEL,,"[""Results of Meeting""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03094004-6A1327058,2026-05-26T22:24:57.000Z,Becoming a substantial holder,429KB,false,CEL,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03093307-6A1326784,2026-05-25T00:00:19.000Z,Section 708A Notice,188KB,false,CEL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
CEL,199003266,2924-03093306-6A1326783,2026-05-25T00:00:14.000Z,Application for quotation of securities - CEL,16KB,false,CEL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CEL""}]","[{""symbol"": ""CEL"", ""xid"": ""8952554"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CEL8"", ""xidEntity"": 199003266}]","[""CEL"", """"]"
