ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CEN,204278641,2924-03100422-2A1677517,2026-06-15T21:31:09.000Z,Craigs Conference Presentation,2878KB,false,CEN,,"[""Company Presentation""]","[{""symbolDisplay"": ""CEN""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", """"]"
CEN,204278641,2924-03100421-2A1677516,2026-06-15T21:30:54.000Z,May 2026 Operating Report,1341KB,true,CEN,,"[""Company Presentation"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""CEN""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", """"]"
CEN,204278641,2924-03099934-2A1677287,2026-06-14T21:31:58.000Z,Contact Energy 2026 Full Year Results Announcement Date,117KB,false,CEN,,"[""Notification of Results/Reporting Date""]","[{""symbolDisplay"": ""CEN""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", """"]"
CEN,204278641,2924-03093525-2A1673731,2026-05-25T21:32:48.000Z,SPH - Macquarie - ceasing to hold substantial holding,290KB,false,CEN,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""CEN""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", """"]"
CEN,204278641,2924-03093349-2A1673564,2026-05-25T02:50:05.000Z,Change in substantial holding from IFT,71KB,false,CEN,,"[""Change in substantial holding"", ""Security holder details - Other""]","[{""symbolDisplay"": ""CEN""}, {""symbolDisplay"": ""IFT""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", ""IFT"", """"]"
CEN,204278641,2924-03092243-2A1673056,2026-05-20T22:23:05.000Z,Contact Energy trading halt lifted,95KB,true,CEN,,"[""Security holder details - Other"", ""Issued Capital - Other"", ""Trading Halt Lifted"", ""Company Administration - Other""]","[{""symbolDisplay"": ""CEN""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", """"]"
CEN,204278641,2924-03091945-2A1672918,2026-05-20T00:09:41.000Z,SPH - Macquarie  - beginning to have substantial holding,1378KB,true,CEN,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""CEN""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", """"]"
CEN,204278641,2924-03091944-2A1672917,2026-05-20T00:09:26.000Z,SPH - Infratil - disclosure of movement of 1% or more,350KB,true,CEN,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CEN""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", """"]"
CEN,204278641,2924-03091875-2A1672897,2026-05-19T23:24:31.000Z,Trading Halt,374KB,true,CEN,,"[""Trading Halt""]","[{""symbolDisplay"": ""CEN""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", """"]"
CEN,204278641,2924-03091693-2A1672826,2026-05-19T21:32:15.000Z,Change in substantial holding from IFT,338KB,false,CEN,,"[""Change in substantial holding"", ""Security holder details - Other""]","[{""symbolDisplay"": ""CEN""}, {""symbolDisplay"": ""IFT""}]","[{""symbol"": ""CEN"", ""xid"": ""300277662"", ""ASXSecurityType"": 1, ""displayName"": ""CONTACT ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZCENE0001S6"", ""xidEntity"": 204278641}]","[""CEN"", ""IFT"", """"]"
