ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CG1,442562798,2924-03084680-2A1669068,2026-04-30T00:33:21.000Z,Q3 FY26 Quarterly Activities Report & Appendix 4C,588KB,true,CG1,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03079486-2A1666840,2026-04-16T01:30:34.000Z,Notification regarding unquoted securities - CG1,21KB,false,CG1,,"[""Appendix 3G""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03079438-2A1666829,2026-04-15T23:52:54.000Z,"Carbonxt Secures $750,000 Convertible Note Funding",227KB,true,CG1,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03062819-2A1656915,2026-02-27T03:24:34.000Z,HY26 Results Announcement,354KB,true,CG1,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03062817-2A1656914,2026-02-27T03:22:44.000Z,Half Yearly Report and Accounts,401KB,true,CG1,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03061011-2A1655869,2026-02-25T00:08:25.000Z,Notification regarding unquoted securities - CG1,21KB,false,CG1,,"[""Appendix 3G""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03060972-2A1655850,2026-02-24T22:58:04.000Z,"Carbonxt Secures $500,000 Convertible Note Funding",226KB,true,CG1,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03053478-2A1651964,2026-02-05T05:54:38.000Z,Q2 FY26 Appendix 4C - Correction,357KB,false,CG1,,"[""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03051239-2A1650716,2026-01-30T04:03:31.000Z,Q2 FY26 Quarterly Activities Report & Appendix 4C,499KB,true,CG1,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
CG1,442562798,2924-03043694-2A1646711,2026-01-06T02:52:41.000Z,Cleansing Statement,203KB,false,CG1,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""CG1""}]","[{""symbol"": ""CG1"", ""xid"": ""448575443"", ""ASXSecurityType"": 1, ""displayName"": ""CARBONXT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CG18"", ""xidEntity"": 442562798}]","[""CG1"", """"]"
