ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CIN,204185177,2924-03105012-2A1680099,2026-06-29T04:49:52.000Z,Notification of cessation of securities - CIN,12KB,false,CIN,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03105000-2A1680093,2026-06-29T04:10:36.000Z,Weekly NTA - 26-06-26,66KB,false,CIN,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03102486-2A1678484,2026-06-22T02:15:41.000Z,Weekly NTA - 19-06-26,66KB,false,CIN,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03100254-2A1677419,2026-06-15T02:52:26.000Z,Weekly NTA - 12-06-26,66KB,false,CIN,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03100070-2A1677332,2026-06-14T22:58:54.000Z,Update - Notification of buy-back - CIN,15KB,false,CIN,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03099577-2A1677098,2026-06-11T23:13:04.000Z,Update - Notification of buy-back - CIN,15KB,false,CIN,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03098703-2A1676679,2026-06-09T23:13:21.000Z,Update - Notification of buy-back - CIN,15KB,false,CIN,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03098333-2A1676450,2026-06-09T01:14:32.000Z,Weekly NTA - 05-06-26,65KB,false,CIN,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03097585-2A1675920,2026-06-04T23:11:03.000Z,Update - Notification of buy-back - CIN,15KB,false,CIN,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
CIN,204185177,2924-03096676-2A1675258,2026-06-02T23:37:20.000Z,Notification of cessation of securities - CIN,12KB,false,CIN,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CIN""}]","[{""symbol"": ""CIN"", ""xid"": ""75783"", ""ASXSecurityType"": 1, ""displayName"": ""CARLTON INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CIN5"", ""xidEntity"": 204185177}]","[""CIN"", """"]"
