ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CLA,204244275,2924-03105295-6A1331540,2026-06-29T22:18:45.000Z,Chinalco Mining to acquire Opuwo from Celsius for US$15m,160KB,true,CLA,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03104121-6A1331074,2026-06-25T22:14:32.000Z,Securities Consolidation Update,99KB,false,CLA,,"[""Capital Reconstruction"", ""Company Administration - Other""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03098156-6A1328670,2026-06-08T22:43:06.000Z,Tambuli Mining Appointments,293KB,false,CLA,,"[""Chair Appointment/Resignation"", ""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03098045-6A1328634,2026-06-08T22:25:36.000Z,Assignment of OLSA to Kiri,406KB,true,CLA,,"[""Progress Report""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03093247-6A1326751,2026-05-24T23:14:59.000Z,Corporate Update,258KB,true,CLA,,"[""Progress Report"", ""Company Administration - Other"", ""Legal Proceedings""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03091051-6A1325896,2026-05-18T01:28:18.000Z,Change of Company Secretary,81KB,false,CLA,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03089770-6A1325354,2026-05-13T07:09:36.000Z,Final Director's Interest Notice - NG,248KB,false,CLA,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03088943-6A1325031,2026-05-11T09:21:53.000Z,Resignation of Non-Executive Director,80KB,false,CLA,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03086945-6A1324239,2026-05-05T22:18:01.000Z,Further update on alternative conflict process,182KB,true,CLA,,"[""Progress Report""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
CLA,204244275,2924-03086140-6A1323878,2026-05-04T00:46:18.000Z,Update on alternative conflict process,155KB,true,CLA,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""CLA""}]","[{""symbol"": ""CLA"", ""xid"": ""282417"", ""ASXSecurityType"": 1, ""displayName"": ""CELSIUS RESOURCES LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CLA6"", ""xidEntity"": 204244275}]","[""CLA"", """"]"
