ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CLU,626329968,2924-03105322-2A1680280,2026-06-29T22:28:25.000Z,Voluntary Delisting - ASX Formal Decision,484KB,true,CLU,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03103755-2A1679308,2026-06-24T23:25:22.000Z,Cluey Ltd Voluntary Delisting from ASX,226KB,true,CLU,,"[""Issued Capital - Other"", ""Notice of Meeting - Other"", ""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03098490-2A1676589,2026-06-09T07:23:49.000Z,Ceasing to be a substantial holder,126KB,false,CLU,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03098478-2A1676583,2026-06-09T07:08:59.000Z,Change in substantial holding,369KB,false,CLU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03094316-2A1674091,2026-05-27T06:38:30.000Z,Change in substantial holding,375KB,false,CLU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03090641-2A1672327,2026-05-15T06:47:29.000Z,Change in substantial holding,245KB,false,CLU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03083551-2A1668657,2026-04-28T22:29:06.000Z,March 2026 Quarterly Actiivities Report and Appendix 4C,901KB,true,CLU,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03074545-2A1663684,2026-03-31T22:10:28.000Z,Notification regarding unquoted securities - CLU,18KB,false,CLU,,"[""Appendix 3G""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03074535-2A1663682,2026-03-31T22:07:18.000Z,Notification of cessation of securities - CLU,12KB,false,CLU,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03074531-2A1663678,2026-03-31T22:03:13.000Z,Final Director's Interest Notice,184KB,false,CLU,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03064910-2A1658132,2026-03-04T22:53:08.000Z,Director and Executive Changes,168KB,true,CLU,,"[""CEO/Managing Director - Appointment Resignation"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03062390-2A1656687,2026-02-26T21:54:01.000Z,"2026 Half Year Report, Appendix 4D and Trading Update",1352KB,true,CLU,,"[""Trading Update"", ""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03051774-2A1650912,2026-02-01T22:17:58.000Z,Cluey not proceeding with the acquisition of Art of Smart,166KB,true,CLU,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03050825-2A1650533,2026-01-29T22:19:39.000Z,December 2025 Quarterly Activities Report and Appendix 4C,828KB,true,CLU,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03043604-2A1646647,2026-01-05T23:03:34.000Z,Notification of cessation of securities - CLU,12KB,false,CLU,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03039471-2A1643954,2025-12-18T21:26:37.000Z,Change of Director's Interest Notice - Gavshon,835KB,false,CLU,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03039292-2A1643884,2025-12-18T06:17:22.000Z,Change in substantial holding,487KB,false,CLU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03039223-2A1643835,2025-12-18T04:11:16.000Z,Change in substantial holding from Tiga Trading Pty Ltd,138KB,false,CLU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03039220-2A1643837,2025-12-18T04:09:51.000Z,Change in substantial holding from TEK,161KB,false,CLU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CLU""}, {""symbolDisplay"": ""TEK""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", ""TEK"", """"]"
CLU,626329968,2924-03039075-2A1643765,2025-12-17T23:28:04.000Z,Change in substantial holding,132KB,false,CLU,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03039061-2A1643762,2025-12-17T23:11:44.000Z,Change of Director's Interest Notice - Rohald,177KB,false,CLU,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03037969-2A1643285,2025-12-16T00:06:23.000Z,Application for quotation of securities - CLU,15KB,false,CLU,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03036613-2A1642668,2025-12-11T22:12:01.000Z,Results of $4.5 million Entitlement Offer,170KB,false,CLU,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03034327-2A1641689,2025-12-07T21:53:23.000Z,Cluey enters binding share purchase agreement - Art of Smart,126KB,true,CLU,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
CLU,626329968,2924-03027135-2A1638026,2025-11-24T01:27:00.000Z,Dispatch of Entitlement Offer Booklet,3511KB,false,CLU,,"[""Company Presentation"", ""Non-Renounceable Issue"", ""Disclosure Document"", ""Asset Acquisition""]","[{""symbolDisplay"": ""CLU""}]","[{""symbol"": ""CLU"", ""xid"": ""626345102"", ""ASXSecurityType"": 1, ""displayName"": ""CLUEY LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000113490"", ""xidEntity"": 626329968, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Services"", ""industry"": ""Diversified Consumer Services"", ""subIndustry"": ""Education Services""}]","[""CLU"", """"]"
