ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CNQ,660731080,2924-03090503-3A693383,2026-05-15T01:13:22.000Z,CNQ Awarded ATA Dewatering Contract at Rasp Mine,297KB,true,CNQ,,"[""Progress Report""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03087868-3A692921,2026-05-07T06:11:12.000Z,Application for quotation of securities - CNQ,15KB,false,CNQ,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03086527-3A692671,2026-05-04T22:48:32.000Z,Investor Presentation,540KB,false,CNQ,,"[""Company Presentation""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03085567-3A692502,2026-05-01T03:31:11.000Z,Investor Webinar - March Quarter Report and Outlook,246KB,false,CNQ,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Web Cast""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03083890-3A692208,2026-04-29T03:52:08.000Z,March 2026 Quarterly Activities Report and Appendix 4C,859KB,true,CNQ,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03082758-3A692022,2026-04-27T06:50:11.000Z,Application for quotation of securities - CNQ,15KB,false,CNQ,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03079620-3A691504,2026-04-16T07:03:26.000Z,Application for quotation of securities - CNQ,15KB,false,CNQ,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03077726-3A691139,2026-04-10T06:57:03.000Z,Application for quotation of securities - CNQ,15KB,false,CNQ,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03077176-3A691046,2026-04-09T06:03:34.000Z,Notification of cessation of securities - CNQ,12KB,false,CNQ,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
CNQ,660731080,2924-03073811-3A690464,2026-03-30T21:27:14.000Z,Letter to Optionholders - Notice of Expiry of Listed Options,686KB,false,CNQ,,"[""Issued Capital - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""CNQ""}]","[{""symbol"": ""CNQ"", ""xid"": ""660712750"", ""ASXSecurityType"": 1, ""displayName"": ""CLEAN TEQ WATER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000153280"", ""xidEntity"": 660731080}]","[""CNQ"", """"]"
