ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
COI,204279312,2924-03105665-2A1680768,2026-06-30T06:10:16.000Z,Comet Ridge and CleanCo reaffirm commitment to GSA,255KB,false,COI,,"[""Progress Report""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03103399-2A1678982,2026-06-24T02:38:08.000Z,Natural Gas Pipeline Licence Awarded for Mahalo Gas Hub,420KB,false,COI,,"[""Progress Report""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03103370-2A1678963,2026-06-24T01:49:38.000Z,Investor Presentation,1416KB,false,COI,,"[""Company Presentation""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03103369-2A1678931,2026-06-24T01:49:33.000Z,Proposed issue of securities - COI,22KB,false,COI,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03103368-2A1678922,2026-06-24T01:49:23.000Z,Proposed issue of securities - COI,19KB,false,COI,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03103366-2A1678950,2026-06-24T01:49:03.000Z,Successful Placement to Raise $40m and SPP to Raise $5m,304KB,true,COI,,"[""Placement"", ""Trading Halt Lifted"", ""Security Purchase Plan""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03102544-2A1678518,2026-06-22T06:10:41.000Z,Change in substantial holding,1074KB,false,COI,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03102329-2A1678410,2026-06-21T22:59:45.000Z,Trading Halt,396KB,true,COI,,"[""Trading Halt""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03096699-2A1675266,2026-06-02T23:46:25.000Z,Final Director's Interest Notice,224KB,false,COI,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
COI,204279312,2924-03096696-2A1675263,2026-06-02T23:45:41.000Z,Retirement of Non-Executive Director,159KB,false,COI,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""COI""}]","[{""symbol"": ""COI"", ""xid"": ""79226"", ""ASXSecurityType"": 1, ""displayName"": ""COMET RIDGE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000COI3"", ""xidEntity"": 204279312, ""sector"": ""Energy"", ""industryGroup"": ""Energy"", ""industry"": ""Oil, Gas & Consumable Fuels"", ""subIndustry"": ""Oil & Gas Exploration & Production""}]","[""COI"", """"]"
