ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CQE,204237493,2924-03100338-3A695336,2026-06-15T06:49:57.000Z,20 year triple net lease acquisition,241KB,false,CQE,,"[""Dividend Rate"", ""Progress Report""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03100235-3A695320,2026-06-15T01:40:40.000Z,Dividend/Distribution - CQE,13KB,true,CQE,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03092007-3A693668,2026-05-20T02:50:07.000Z,Initial Director's Interest Notice,347KB,false,CQE,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03092006-3A693667,2026-05-20T02:48:32.000Z,Final Director's Interest Notice,375KB,false,CQE,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03092005-3A693666,2026-05-20T02:46:42.000Z,Final Director's Interest Notice,381KB,false,CQE,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03091585-3A693577,2026-05-19T06:37:05.000Z,Board changes,135KB,false,CQE,,"[""Chair Appointment/Resignation"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03085451-3A692478,2026-04-30T23:43:05.000Z,Portfolio Update,140KB,true,CQE,,"[""Periodic Reports - Other"", ""Progress Report""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03079831-3A691547,2026-04-16T23:26:27.000Z,CQR AMIT Notice re 31 March 2026 Interim Distribution,156KB,false,CQE,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate"", ""Dividend - Other""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03071681-3A690054,2026-03-24T21:12:49.000Z,Ceasing to be a substantial holder,786KB,false,CQE,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03071057-3A689912,2026-03-23T00:10:46.000Z,Dividend/Distribution - CQE,13KB,true,CQE,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03052719-3A686468,2026-02-03T21:27:56.000Z,HY26 Results Presentation,14045KB,true,CQE,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03052718-3A686467,2026-02-03T21:27:41.000Z,HY26 Results Announcement,171KB,true,CQE,,"[""Half Yearly Report"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03052717-3A686466,2026-02-03T21:27:31.000Z,Appendix 4D and HY26 Interim Financial Report,2012KB,true,CQE,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03047033-3A685546,2026-01-18T22:09:34.000Z,CQE AMIT Notice re 31 Dec 2025 Interim Distribution,179KB,false,CQE,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate"", ""Dividend - Other""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03036771-3A683782,2025-12-12T00:52:52.000Z,Dividend/Distribution - CQE,13KB,true,CQE,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-03009444-3A679039,2025-10-16T22:02:32.000Z,CQE AMIT Notice for 30 September 2025 Interim Distribution,101KB,false,CQE,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-02995095-3A676626,2025-09-18T01:20:48.000Z,Dividend/Distribution - CQE,13KB,true,CQE,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-02981690-3A674046,2025-08-21T05:15:13.000Z,Corporate Governance Statement,3727KB,false,CQE,,"[""Corporate Governance""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
CQE,204237493,2924-02981689-3A674045,2025-08-21T05:14:53.000Z,Appendix 4G,338KB,false,CQE,,"[""Appendix 4G""]","[{""symbolDisplay"": ""CQE""}]","[{""symbol"": ""CQE"", ""xid"": ""39731"", ""ASXSecurityType"": 6, ""displayName"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000030645"", ""xidEntity"": 204237493, ""sector"": ""Real Estate"", ""industryGroup"": ""Equity Real Estate Investment Trusts (REITs)"", ""industry"": ""Specialized REITs"", ""subIndustry"": ""Other Specialized REITs""}]","[""CQE"", """"]"
