ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CR1,466214788,2924-03103212-6A1330732,2026-06-23T22:50:47.000Z,Notice Under Section 708AA,233KB,false,CR1,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03103207-6A1330729,2026-06-23T22:47:57.000Z,Offer Document,434KB,true,CR1,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03103200-6A1330723,2026-06-23T22:42:57.000Z,Proposed issue of securities - CR1,19KB,false,CR1,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03103199-6A1330722,2026-06-23T22:42:47.000Z,Entitlement Offer,302KB,true,CR1,,"[""Non-Renounceable Issue""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03100498-6A1329581,2026-06-15T22:27:34.000Z,Corporate Presentation - Helium and Methane (June 2026),6114KB,false,CR1,,"[""Company Presentation""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03098114-6A1328662,2026-06-08T22:33:36.000Z,Anomalous Copper Gold at Ularring,1104KB,true,CR1,,"[""Progress Report""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03094054-6A1327082,2026-05-26T22:50:22.000Z,Corporate Presentation - Helium and Methane Exploration,4924KB,false,CR1,,"[""Company Presentation""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03092319-6A1326367,2026-05-20T23:03:40.000Z,Methane and Helium Confirmed in Newly Awarded SPA,1512KB,true,CR1,,"[""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03091842-6A1326218,2026-05-19T23:12:01.000Z,Trading Halt,307KB,true,CR1,,"[""Trading Halt""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03084278-6A1322994,2026-04-29T22:22:45.000Z,March 2026 Quarterly Report,703KB,true,CR1,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03075459-6A1319249,2026-04-02T05:36:05.000Z,Notification regarding unquoted securities - CR1,21KB,false,CR1,,"[""Appendix 3G""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03073346-6A1318386,2026-03-29T22:13:50.000Z,Drilling Completed at Ularring Copper Gold Project,756KB,false,CR1,,"[""Progress Report"", ""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03055887-6A1311760,2026-02-12T04:29:06.000Z,Half Year Accounts,1684KB,false,CR1,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
CR1,466214788,2924-03049482-6A1308681,2026-01-27T22:02:22.000Z,December 2025 Quarterly Report,979KB,true,CR1,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""CR1""}]","[{""symbol"": ""CR1"", ""xid"": ""481170931"", ""ASXSecurityType"": 1, ""displayName"": ""CONSTELLATION RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000012023"", ""xidEntity"": 466214788}]","[""CR1"", """"]"
