ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CTN,204094291,2924-03105248-6A1331513,2026-06-29T22:13:05.000Z,Kirkalocka Advances Towards Drilling,1189KB,true,CTN,,"[""Progress Report""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03104692-6A1331301,2026-06-28T22:22:26.000Z,Breakaway Dam Copper Lithium Project Acquisition Completed,335KB,true,CTN,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""CTN""}, {""symbolDisplay"": ""FRS""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", ""FRS"", """"]"
CTN,204094291,2924-03103060-6A1330654,2026-06-23T08:29:10.000Z,Proposed issue of securities - CTN,16KB,false,CTN,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03102573-6A1330422,2026-06-22T06:49:11.000Z,Letter to Shareholders - General Meeting,71KB,false,CTN,,"[""Notice of Meeting - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03102568-6A1330421,2026-06-22T06:43:46.000Z,Notice of General Meeting/Proxy Form,959KB,false,CTN,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03100827-6A1329695,2026-06-16T08:02:58.000Z,Cleansing Notice,98KB,false,CTN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03100045-6A1329402,2026-06-14T22:46:24.000Z,Significant Historic Gold Results Across Mid-West Portfolio,3123KB,true,CTN,,"[""Progress Report""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03099181-6A1329076,2026-06-10T23:37:25.000Z,Notification regarding unquoted securities - CTN,20KB,false,CTN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03099171-6A1329070,2026-06-10T23:25:40.000Z,Application for quotation of securities - CTN,17KB,false,CTN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03095551-6A1327695,2026-05-31T22:22:51.000Z,Catalina Accelerates Mid-West Exploration Activities,622KB,true,CTN,,"[""Progress Report""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03092600-6A1326487,2026-05-21T08:02:04.000Z,Cleansing Notice,97KB,false,CTN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03092438-6A1326422,2026-05-21T01:39:21.000Z,Application for quotation of securities - CTN,15KB,false,CTN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03090009-6A1325438,2026-05-13T23:37:57.000Z,Investor Presentation,3313KB,false,CTN,,"[""Company Presentation""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03090008-6A1325435,2026-05-13T23:37:52.000Z,Proposed issue of securities - CTN,18KB,false,CTN,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
CTN,204094291,2924-03090007-6A1325432,2026-05-13T23:37:47.000Z,Proposed issue of securities - CTN,15KB,false,CTN,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""CTN""}]","[{""symbol"": ""CTN"", ""xid"": ""22383699"", ""ASXSecurityType"": 1, ""displayName"": ""CATALINA RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000255119"", ""xidEntity"": 204094291}]","[""CTN"", """"]"
