ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CWP,204138369,2924-03105200-6A1331489,2026-06-29T08:57:02.000Z,Change of Director's Interest Notice - WGH,213KB,false,CWP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
CWP,204138369,2924-03097481-6A1328417,2026-06-04T22:20:23.000Z,Acquisitions & Operational Update,320KB,true,CWP,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
CWP,204138369,2924-03089430-6A1325229,2026-05-12T22:17:32.000Z,Becoming a substantial holder,309KB,false,CWP,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
CWP,204138369,2924-03085731-6A1323673,2026-05-01T07:20:42.000Z,Change in substantial holding from WAM/WMI,266KB,false,CWP,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CWP""}, {""symbolDisplay"": ""WAM""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", ""WAM"", ""WMI"", """"]"
CWP,204138369,2924-03084145-6A1322899,2026-04-29T22:03:40.000Z,FY26 Third Quarter Update,439KB,true,CWP,,"[""Trading Update"", ""Progress Report""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
CWP,204138369,2924-03077656-6A1320027,2026-04-10T05:35:23.000Z,Change of Director's Interest Notice - WGH,222KB,false,CWP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
CWP,204138369,2924-03075644-6A1319325,2026-04-02T09:16:46.000Z,Notification of cessation of securities - CWP,12KB,false,CWP,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
CWP,204138369,2924-03075643-6A1319323,2026-04-02T09:15:46.000Z,Update - Dividend/Distribution - CWP,19KB,false,CWP,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
CWP,204138369,2924-03075641-6A1319322,2026-04-02T09:14:21.000Z,Suspension of DRP & BSP for FY26 Interim Dividend,290KB,false,CWP,,"[""Dividend Reinvestment Plan"", ""Company Administration - Other""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
CWP,204138369,2924-03072525-6A1318043,2026-03-26T04:04:20.000Z,Change of Director's Interest Notice - NJB,226KB,false,CWP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""CWP""}]","[{""symbol"": ""CWP"", ""xid"": ""84342"", ""ASXSecurityType"": 1, ""displayName"": ""CEDAR WOODS PROPERTIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CWP1"", ""xidEntity"": 204138369, ""industry"": ""Real Estate Management & Development"", ""subIndustry"": ""Real Estate Development""}]","[""CWP"", """"]"
