ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
CY5,443097247,2924-03100346-6A1329517,2026-06-15T07:00:58.000Z,Cleansing Notice,138KB,false,CY5,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03100345-6A1329516,2026-06-15T06:59:13.000Z,Application for quotation of securities - CY5,16KB,false,CY5,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03100337-6A1329513,2026-06-15T06:48:47.000Z,Application for quotation of securities - CY5,15KB,false,CY5,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03096996-6A1328245,2026-06-03T22:19:24.000Z,Becoming a substantial holder,3044KB,false,CY5,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03096384-6A1327978,2026-06-02T06:33:04.000Z,Cygnus enters into Scheme Implementation Deed,2731KB,true,CY5,,"[""Scheme of Arrangement"", ""Trading Halt Lifted"", ""Takeover - Timer Applied""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03096197-6A1327913,2026-06-01T23:38:51.000Z,Trading Halt,324KB,true,CY5,,"[""Trading Halt""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03095926-6A1327811,2026-06-01T06:43:25.000Z,Notification of cessation of securities - CY5,12KB,false,CY5,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03094329-6A1327193,2026-05-27T06:50:50.000Z,Securities Trading Policy,233KB,false,CY5,,"[""Trading Policy""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03094323-6A1327192,2026-05-27T06:43:45.000Z,Change of Director's Interest Notice,374KB,false,CY5,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03093203-6A1326745,2026-05-24T22:50:58.000Z,High-Grade Golden Eye Results,1854KB,true,CY5,,"[""Progress Report""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03090637-6A1325697,2026-05-15T06:39:44.000Z,Management's Discussion and Analysis Q1 2026,1713KB,false,CY5,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03090634-6A1325696,2026-05-15T06:39:09.000Z,Unaudited Consolidated Interim Financial Report Q1 2026,672KB,false,CY5,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03085890-6A1323774,2026-05-03T22:16:32.000Z,Constitution,544KB,false,CY5,,"[""Constitution""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03085543-6A1323608,2026-05-01T02:18:45.000Z,Results of Annual General Meeting,205KB,false,CY5,,"[""Results of Meeting""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03082408-6A1321998,2026-04-24T06:42:48.000Z,Change of Director's Interest Notice x 3,365KB,false,CY5,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03082400-6A1321995,2026-04-24T06:36:28.000Z,Notification of cessation of securities - CY5,13KB,false,CY5,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03082162-6A1321881,2026-04-23T23:22:26.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1305KB,true,CY5,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03079316-6A1320656,2026-04-15T22:31:13.000Z,High-grade assay results from Golden Eye deposit,859KB,true,CY5,,"[""Progress Report""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03074838-6A1319039,2026-04-01T05:44:21.000Z,Notice of Annual General Meeting/Proxy Form/Notice of Access,996KB,false,CY5,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03073691-6A1318508,2026-03-30T07:36:59.000Z,Annual Report to shareholders,4670KB,false,CY5,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03073690-6A1318524,2026-03-30T07:36:54.000Z,Corporate Governance Statement and Appendix 4G,527KB,false,CY5,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03072372-6A1317982,2026-03-25T22:37:38.000Z,Change in substantial holding,229KB,false,CY5,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03070452-6A1317251,2026-03-19T22:35:40.000Z,Cleansing Notice,153KB,false,CY5,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03070448-6A1317250,2026-03-19T22:33:00.000Z,Application for quotation of securities - CY5,15KB,false,CY5,,"[""Appendix 2A""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03067898-6A1316185,2026-03-12T22:58:07.000Z,Proposed issue of securities - CY5,15KB,false,CY5,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03067897-6A1316187,2026-03-12T22:57:47.000Z,Successful A$25m Placement,259KB,true,CY5,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03066876-6A1315769,2026-03-10T22:31:04.000Z,Trading Halt,243KB,true,CY5,,"[""Trading Halt""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
CY5,443097247,2924-03063253-6A1314354,2026-03-01T21:23:05.000Z,Closing Date for Director Nominations,153KB,false,CY5,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""CY5""}]","[{""symbol"": ""CY5"", ""xid"": ""445699724"", ""ASXSecurityType"": 1, ""displayName"": ""CYGNUS METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CY57"", ""xidEntity"": 443097247}]","[""CY5"", """"]"
