ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
DAI,627841243,2924-03102627-6A1330456,2026-06-22T07:51:41.000Z,Cleansing Notice,121KB,false,DAI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03102623-6A1330455,2026-06-22T07:44:36.000Z,Application for quotation of securities - DAI,17KB,false,DAI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03096909-6A1328207,2026-06-03T07:05:13.000Z,Cleansing Notice,65KB,false,DAI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03096907-6A1328206,2026-06-03T07:02:18.000Z,Application for quotation of securities - DAI,19KB,false,DAI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03093187-6A1326739,2026-05-24T22:37:28.000Z,Decidr Partners w SCXai for Sovereign Inference in Australia,63KB,false,DAI,,"[""Progress Report""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03091669-6A1326145,2026-05-19T08:45:31.000Z,Cleansing Notice,67KB,false,DAI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03091668-6A1326144,2026-05-19T08:42:51.000Z,Application for quotation of securities - DAI,24KB,false,DAI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03090914-6A1325843,2026-05-17T23:14:02.000Z,Change in substantial holding,84KB,false,DAI,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03090240-6A1325546,2026-05-14T07:19:40.000Z,Cleansing Notice,66KB,false,DAI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03090236-6A1325543,2026-05-14T07:11:05.000Z,Application for quotation of securities - DAI,17KB,false,DAI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03090050-6A1325478,2026-05-14T00:05:02.000Z,Cleansing Notice,69KB,false,DAI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03090043-6A1325476,2026-05-13T23:56:52.000Z,Application for quotation of securities - DAI,17KB,false,DAI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03088926-6A1325017,2026-05-11T08:25:08.000Z,Cleansing Notice,57KB,false,DAI,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03088922-6A1325016,2026-05-11T08:19:58.000Z,Application for quotation of securities - DAI,17KB,false,DAI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03088745-6A1324948,2026-05-11T01:04:25.000Z,DAI appoints new Chief Financial Officer,73KB,false,DAI,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03087560-6A1324481,2026-05-06T22:43:10.000Z,Appointment of Auditor,40KB,false,DAI,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03087153-6A1324320,2026-05-05T23:48:16.000Z,Investor Presentation,4506KB,false,DAI,,"[""Company Presentation""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03087150-6A1324312,2026-05-05T23:47:01.000Z,Proposed issue of securities - DAI,15KB,false,DAI,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03087149-6A1324302,2026-05-05T23:46:51.000Z,Successful Completion of $15m Placement,114KB,true,DAI,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
DAI,627841243,2924-03086595-6A1324064,2026-05-04T23:24:22.000Z,Trading Halt,168KB,true,DAI,,"[""Trading Halt""]","[{""symbolDisplay"": ""DAI""}]","[{""symbol"": ""DAI"", ""xid"": ""627866376"", ""ASXSecurityType"": 1, ""displayName"": ""DECIDR AI INDUSTRIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000386310"", ""xidEntity"": 627841243}]","[""DAI"", """"]"
