ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
DGR,204589285,2924-03104922_PS-2A1680001,2026-06-29T00:00:21.000Z,DGR Acquires Strategic Stake in Sunstone Metals,689KB,true,DGR,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03104913_NPS-2A1680051,2026-06-28T23:56:36.000Z,STM: Sunstone raises $10M in share placement,5905KB,false,DGR,,"[""Company Presentation"", ""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03104375-2A1679766,2026-06-26T02:41:33.000Z,Trading Halt,358KB,true,DGR,,"[""Trading Halt""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03104273-2A1679699,2026-06-25T23:49:47.000Z,Pause in Trading,111KB,true,DGR,,"[""Notice Pending""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03103882-2A1679383,2026-06-25T02:18:38.000Z,DGR Outlines Two Year Strategic Focus,182KB,true,DGR,,"[""Market Buy-Back"", ""Progress Report""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03100095-2A1677347,2026-06-14T23:08:29.000Z,Change in substantial holding,221KB,false,DGR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03095225-2A1674563,2026-05-29T03:44:52.000Z,Change in substantial holding,111KB,false,DGR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03095223-2A1674559,2026-05-29T03:44:02.000Z,Change of Directors Interest Notice,239KB,false,DGR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03093883-2A1673897,2026-05-26T07:07:56.000Z,Response to ASX Appendix 3Z Query Letter,274KB,false,DGR,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
DGR,204589285,2924-03093549-2A1673735,2026-05-25T22:20:58.000Z,Change of Director's Interest Notice,239KB,false,DGR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""DGR""}]","[{""symbol"": ""DGR"", ""xid"": ""89365"", ""ASXSecurityType"": 1, ""displayName"": ""DGR GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DGR8"", ""xidEntity"": 204589285}]","[""DGR"", """"]"
