ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
DJW,204244812,2924-03105369-3A696226,2026-06-29T22:58:30.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03104944-3A696138,2026-06-29T00:28:06.000Z,Weekly Estimated NTA as at 26 June 2026,255KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03104791-3A696118,2026-06-28T23:01:56.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03104275-3A696035,2026-06-25T23:54:27.000Z,Update on the upcoming Quarterly Dividend,317KB,true,DJW,,"[""Notification of Results/Reporting Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03102498-3A695739,2026-06-22T03:15:56.000Z,Key Dates,131KB,false,DJW,,"[""Dividend Reinvestment Plan"", ""Notification of Results/Reporting Date"", ""Notice of Meeting - Other"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Company Administration - Other""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03102475-3A695735,2026-06-22T01:38:56.000Z,Notification of cessation of securities - DJW,12KB,false,DJW,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03102381-3A695713,2026-06-21T23:22:00.000Z,Weekly Estimated NTA as at 19 June 2026,257KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03100117-3A695296,2026-06-14T23:18:54.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03100110-3A695293,2026-06-14T23:15:14.000Z,Weekly Estimated NTA as at 12 June 2026,257KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03099570-3A695196,2026-06-11T23:08:59.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03099151-3A695092,2026-06-10T23:13:30.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03098305-3A694939,2026-06-09T00:22:06.000Z,Weekly Estimated NTA as at 5 June 2026,258KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03097512-3A694791,2026-06-04T22:25:13.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03097198-3A694744,2026-06-03T23:54:30.000Z,NTA & Top 20 Investments as at 31 May 2026,365KB,false,DJW,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03097071-3A694713,2026-06-03T22:30:29.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03096037-3A694501,2026-06-01T22:22:56.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03095855-3A694436,2026-06-01T04:17:24.000Z,Appendix 3Y - Change of Director's Interest Notice x 4,422KB,false,DJW,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03095714-3A694400,2026-05-31T23:28:42.000Z,Weekly Estimated NTA as at 29 May 2026,257KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03095586-3A694366,2026-05-31T22:27:46.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03095031-3A694269,2026-05-28T23:04:25.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03094518-3A694175,2026-05-27T22:47:36.000Z,Application for quotation of securities - DJW,15KB,false,DJW,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03093327-3A693930,2026-05-25T01:17:34.000Z,Weekly Estimated NTA as at 22 May 2026,257KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03092565-3A693776,2026-05-21T06:57:08.000Z,Securities Dealing Policy,284KB,false,DJW,,"[""Trading Policy""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03092482-3A693759,2026-05-21T03:40:47.000Z,Notification of cessation of securities - DJW,12KB,false,DJW,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03090947-3A693471,2026-05-17T23:29:17.000Z,Weekly Estimated NTA as at 15 May 2026,259KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03089177-3A693140,2026-05-12T01:11:29.000Z,Update - Dividend/Distribution - DJW,20KB,false,DJW,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03088707-3A693052,2026-05-10T23:42:44.000Z,Weekly Estimated NTA as at 8 May 2026,258KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03086722-3A692711,2026-05-05T04:11:44.000Z,NTA & Top 20 Investments as at 30 April 2026,361KB,false,DJW,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03086105-3A692608,2026-05-03T23:58:48.000Z,Weekly Estimated NTA as at 1 May 2026,256KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03083606-3A692158,2026-04-28T22:53:32.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03082964-3A692058,2026-04-27T23:03:42.000Z,Update - Notification of buy-back - DJW,15KB,false,DJW,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03082673-3A692005,2026-04-26T23:51:38.000Z,Weekly Estimated NTA as at 24 April 2026,256KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03081728-3A691865,2026-04-22T23:48:57.000Z,First Quarterly Dividend Payment,126KB,false,DJW,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03081717-3A691862,2026-04-22T23:42:12.000Z,Dividend/Distribution - DJW,19KB,true,DJW,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03080356-3A691634,2026-04-19T23:33:39.000Z,Weekly Estimated NTA as at 17 April 2026,257KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03078025-3A691194,2026-04-12T23:41:07.000Z,Weekly Estimated NTA as at 10 April 2026,257KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03075980-3A690856,2026-04-07T01:31:19.000Z,Weekly Estimated NTA as at 3 April 2026,255KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03075487-3A690766,2026-04-02T05:46:15.000Z,NTA & Top 20 Investments as at 31 March 2026,360KB,false,DJW,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
DJW,204244812,2924-03073379-3A690401,2026-03-29T22:31:25.000Z,Weekly Estimated NTA as at 27 March 2026,255KB,false,DJW,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""DJW""}]","[{""symbol"": ""DJW"", ""xid"": ""90322"", ""ASXSecurityType"": 1, ""displayName"": ""DJERRIWARRH INVESTMENTS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DJW2"", ""xidEntity"": 204244812}]","[""DJW"", """"]"
