ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
DSK,622839653,2924-03095862-2A1674890,2026-06-01T04:48:04.000Z,Change of Company Address,207KB,false,DSK,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03057762-2A1654163,2026-02-17T22:28:28.000Z,Change of Director's Interest Notice,363KB,false,DSK,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03056088-2A1653415,2026-02-12T21:56:17.000Z,DSK 1H FY26 Investor Presentation,8267KB,true,DSK,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03056084-2A1653413,2026-02-12T21:53:37.000Z,DSK 1H FY26 Announcement,192KB,true,DSK,,"[""Trading Update"", ""Half Yearly Report"", ""Periodic Reports - Other""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03056081-2A1653411,2026-02-12T21:48:57.000Z,Dividend/Distribution - DSK,13KB,false,DSK,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03056080-2A1653409,2026-02-12T21:48:32.000Z,Appendix 4D and Interim Consolidated Financial Report,1266KB,true,DSK,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03046446-2A1648449,2026-01-15T04:44:25.000Z,1H FY26 Financial Result - Timing of Release,126KB,false,DSK,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03027004-2A1637970,2025-11-23T22:39:59.000Z,Response to Director's Interest Notice Query,349KB,false,DSK,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03026683-2A1637837,2025-11-21T07:12:17.000Z,Re-appointment of Auditor,104KB,false,DSK,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
DSK,622839653,2924-03021919-2A1635595,2025-11-11T22:36:09.000Z,Initial Director's Interest Notice,267KB,false,DSK,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""DSK""}]","[{""symbol"": ""DSK"", ""xid"": ""622866912"", ""ASXSecurityType"": 1, ""displayName"": ""DUSK GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000109662"", ""xidEntity"": 622839653}]","[""DSK"", """"]"
