ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
DXB,234925860,2924-03100641-3A695398,2026-06-16T00:31:15.000Z,Dimerix Investor Webinar,1742KB,false,DXB,,"[""Company Presentation"", ""Web Cast""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03100638-3A695397,2026-06-16T00:20:50.000Z,Dimerix Licenses DMX200 to Everest for China and Asia Region,325KB,true,DXB,,"[""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03100104-3A695290,2026-06-14T23:13:49.000Z,Trading Halt,501KB,true,DXB,,"[""Trading Halt""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03084447-3A692287,2026-04-29T23:13:21.000Z,Dimerix Quarterly Activities Report and Appendix 4C,496KB,true,DXB,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03083122-3A692083,2026-04-28T00:26:18.000Z,Dimerix Releases Investor Presentation and Video Recording,3285KB,false,DXB,,"[""Company Presentation"", ""Web Cast"", ""Progress Report""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03082996-3A692064,2026-04-27T23:20:23.000Z,ACTION3 Statistical Review Complete,408KB,true,DXB,,"[""Progress Report""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03077133-3A691043,2026-04-09T04:01:38.000Z,Dimerix Singapore Investor Briefing,323KB,false,DXB,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03068573-3A689463,2026-03-15T22:20:38.000Z,Dimerix Presents at Euroz Hartleys Institutional Conference,3474KB,false,DXB,,"[""Company Presentation""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03068486-3A689452,2026-03-15T21:29:08.000Z,Dimerix to Conduct Review of ACTION3 Statistical Assumptions,365KB,true,DXB,,"[""Progress Report""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
DXB,234925860,2924-03066343-3A689087,2026-03-09T22:21:15.000Z,Dimerix Phase 3 Trial Last Patient Receives First Dose,327KB,true,DXB,,"[""Progress Report""]","[{""symbolDisplay"": ""DXB""}]","[{""symbol"": ""DXB"", ""xid"": ""51188069"", ""ASXSecurityType"": 1, ""displayName"": ""DIMERIX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DXB7"", ""xidEntity"": 234925860}]","[""DXB"", """"]"
