ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
DYL,204211772,2924-03105842-6A1331720,2026-06-30T08:48:57.000Z,Application for quotation of securities - DYL,15KB,false,DYL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
DYL,204211772,2924-03105835-6A1331712,2026-06-30T08:43:52.000Z,Notification of cessation of securities - DYL,13KB,false,DYL,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
DYL,204211772,2924-03105826-6A1331703,2026-06-30T08:39:57.000Z,Issue and Cancellation Of Securities,74KB,false,DYL,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
DYL,204211772,2924-03105341-6A1331514,2026-06-29T22:43:55.000Z,Cooper Creek JV Acquisition,3647KB,false,DYL,,"[""Progress Report""]","[{""symbolDisplay"": ""DYL""}, {""symbolDisplay"": ""ERA""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", ""ERA"", """"]"
DYL,204211772,2924-03103149-6A1330707,2026-06-23T22:26:27.000Z,Change in substantial holding,310KB,false,DYL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
DYL,204211772,2924-03094674-6A1327333,2026-05-28T00:58:22.000Z,Corporate Presentation - UBS Uranium Day,3778KB,false,DYL,,"[""Company Presentation""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
DYL,204211772,2924-03089760-6A1325350,2026-05-13T06:50:21.000Z,Change in substantial holding,140KB,false,DYL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
DYL,204211772,2924-03087974-6A1324615,2026-05-07T08:31:03.000Z,Notification of buy-back - DYL,12KB,false,DYL,,"[""Employee Share Scheme Buy-Back""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
DYL,204211772,2924-03087973-6A1324614,2026-05-07T08:28:23.000Z,Notification of Share Buyback,69KB,false,DYL,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
DYL,204211772,2924-03087972-6A1324613,2026-05-07T08:23:23.000Z,Application for quotation of securities - DYL,15KB,false,DYL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""DYL""}]","[{""symbol"": ""DYL"", ""xid"": ""94506"", ""ASXSecurityType"": 1, ""displayName"": ""DEEP YELLOW LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000DYL4"", ""xidEntity"": 204211772}]","[""DYL"", """"]"
